event,node,start,end
form start,,1639025889296,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639025889297,1639025890456
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639025890489,1639025893311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639025893319,1639025909534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639025909544,1639025916158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639025916165,1639025921162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639025921260,1639025924978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639025924992,1639025932094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639025932102,1639025933532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639025933537,1639025937815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639025937822,1639025941935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639025941942,1639025943415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639025943421,1639025949899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639025949907,1639025956152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639025956161,1639025964619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639025964625,1639025967853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639025967860,1639025979712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639025979718,1639026000068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639026000081,1639026002110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639026002118,1639026021336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639026021345,1639026023866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639026023871,1639026042320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639026042329,1639026047506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639026047514,1639026056269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639026056275,1639026060797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639026060803,1639026063752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639026063759,1639026070642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639026070649,1639026080853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639026080861,1639026083659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639026083665,1639026086127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639026086134,1639026090220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639026090227,1639026092187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639026092194,1639026098085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639026098092,1639026100114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639026100121,1639026111902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639026111907,1639026113833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639026113838,1639026116530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639026116537,1639026118907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639026118914,1639026121192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639026121198,1639026122724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639026122729,1639026124443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639026124449,1639026126203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639026126209,1639026129398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639026129404,1639026139868
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639026139873,1639026144612
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639026144618,1639026149870
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639026149934,1639026153566
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639026153574,1639026155886
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639026155895,1639026158807
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639026158815,1639026160831
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639026160836,1639026165807
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639026165813,1639026173726
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639026173732,1639026185988
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639026185996,1639026196290
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1639026196296,1639026211468
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_type,1639026211475,1639026214969
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639026214978,1639026218078
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639026218085,1639026221968
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639026221973,1639026246864
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639026246870,1639026248484
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639026248491,1639026251908
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639026251916,1639026253137
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639026253144,1639026254554
