event,node,start,end
form start,,1639459627283,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639459627284,1639459628486
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639459628496,1639459655535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639459655549,1639459658581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639459658595,1639459666249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639459666263,1639459673884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639459673949,1639459674689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639459674701,1639459678101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639459678155,1639459685203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639459685218,1639459719175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639459719192,1639459720458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639459720472,1639459723495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639459723509,1639459732423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639459732438,1639459734197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639459734209,1639459763584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639459763596,1639459769197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639459769212,1639459771877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639459771898,1639459773833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639459773846,1639459900134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639459900145,1639459903023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639459903040,1639459907998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639459908019,1639459931823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639459931841,1639459932607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639459932618,1639459934517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639459934528,1639459937499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459937511,1639459940200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459940218,1639459947117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459947130,1639459953184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459953199,1639459961549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459961560,1639459963954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459963968,1639459969256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639459969267,1639459975866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639459975884,1639460105607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639460105625,1639460106697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639460106709,1639460107147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639460107155,1639460108780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639460108795,1639460112102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639460112113,1639460114927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639460114943,1639460124378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639460124393,1639460145170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639460145184,1639460148507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639460148521,1639460156816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639460156831,1639460163203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639460163218,1639460166001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639460166015,1639460169221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639460169238,1639460175678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639460175694,1639460177813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639460177826,1639460180582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639460180596,1639460185390
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639460185407,1639460188310
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639460188323,1639460193675
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639460193716,1639460194356
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639460194373,1639460198124
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639460198176,1639460201832
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639460201855,1639460209889
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639460209899,1639460213177
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639460213195,1639460224167
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639460224178,1639460227174
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639460227188,1639460237235
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639460237244,1639460240745
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639460240760,1639460244017
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639460244030,1639460251210
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639460251224,1639460254006
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639460254018,1639460258341
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639460258356,1639460263972
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639460263987,1639460274411
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639460274422,1639460275503
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639460275514,1639460277723
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639460277737,1639460280446
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639460280462,1639460285133
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639460285144,1639460286904
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639460286918,1639460288819
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639460288834,1639460291069
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639460291084,1639460295081
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639460295095,1639460298079
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639460298089,1639460301273
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639460301290,1639460302352
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639460302362,1639460304704
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639460304721,1639460305369
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639460305380,1639460308859
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639460308874,1639460310791
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639460310805,1639460313936
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639460313951,1639460315759
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639460315771,1639460318547
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639460318568,1639460319154
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639460319165,1639460320910
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639460320925,1639460321726
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639460321739,1639460322229
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639460322237,1639460323651
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639460323661,1639460327430
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639460327444,1639460328994
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639460329006,1639460331162
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639460331176,1639460334953
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639460334974,1639460337425
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639460337439,1639460341776
