event,node,start,end
form start,,1639387372252,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639387372253,1639387373131
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639387373139,1639387376190
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639387376197,1639387377321
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639387377328,1639387378318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639387378326,1639387380967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639387380975,1639387388838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639387388846,1639387392270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639387392323,1639387396631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639387396659,1639387410803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639387410811,1639387625443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639387625454,1639387629050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639387629059,1639387639645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639387639654,1639387640956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639387640964,1639387642034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639387642044,1639387643486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639387643497,1639387653607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639387653617,1639387669975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639387669983,1639387683594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639387683602,1639387687102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639387687110,1639387699548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639387699557,1639387706564
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639387706572,1639387708543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639387708554,1639387716722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639387716730,1639387723712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639387723721,1639387745505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639387745514,1639387759709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639387759717,1639387764875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639387764886,1639387770439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639387770447,1639387774122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639387774130,1639387780876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639387780884,1639387791881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639387791889,1639387797254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639387797262,1639387798027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639387798036,1639387798746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639387798754,1639387799429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639387799437,1639387799995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639387800004,1639387801047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639387801056,1639387802063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639387802072,1639387809490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639387809499,1639387815576
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639387815584,1639387817670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639387817679,1639387820034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639387820043,1639387821589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639387821598,1639387823109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639387823117,1639387824959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639387824969,1639387831936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639387831944,1639387834495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639387834503,1639387841445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639387841454,1639387844653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639387844663,1639387847895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639387847904,1639387853680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639387853689,1639387863721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639387863728,1639387867713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639387867721,1639387868397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639387868405,1639387869457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639387869466,1639387870608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639387870618,1639387871246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639387871257,1639387873816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639387873826,1639387878861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639387878870,1639387881005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639387881014,1639387886076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639387886085,1639387889160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639387889168,1639387895492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639387895504,1639387897583
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639387897592,1639387902948
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639387902957,1639387909085
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639387909094,1639387920951
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639387920959,1639387929613
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639387929624,1639387933863
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639387933874,1639387942985
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639387942997,1639387949103
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639387949112,1639387958114
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639387958134,1639387960266
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639387960274,1639387962328
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639387962337,1639387964133
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639387964141,1639387965644
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639387965653,1639387967028
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639387967036,1639387973185
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639387973194,1639387974932
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639387974940,1639387985208
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639387985217,1639387986469
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639387986476,1639387988757
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639387988766,1639387993970
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639387993978,1639387996742
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639387996751,1639387998623
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639387998632,1639388006885
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639388006896,1639388016149
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639388016158,1639388020521
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639388020529,1639388024523
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639388024530,1639388035389
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639388035399,1639388049349
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639388049357,1639388058676
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639388058686,1639388065065
