event,node,start,end
form start,,1638858366035,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638858366036,1638858366942
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638858366951,1638858368730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638858368741,1638858370237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638858370247,1638858375659
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638858375668,1638858378712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638858378750,1638858383008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638858383038,1638858393842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638858393852,1638858419637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638858419647,1638858421956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638858421964,1638858424142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638858424151,1638858427030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638858427039,1638858432249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638858432258,1638858433583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638858433592,1638858478155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638858478164,1638858506267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638858506275,1638858513916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638858513924,1638858516368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638858516377,1638858525945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638858525954,1638858531049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638858531062,1638858532601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638858532610,1638858539791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638858539799,1638858541434
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638858541441,1638858576031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858576040,1638858585032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638858585042,1638858593508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858593516,1638858597596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638858597604,1638858600415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638858600425,1638858606478
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638858606490,1638858611190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638858611199,1638858618310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638858618325,1638858622005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638858622014,1638858623607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638858623615,1638858624916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858624924,1638858640040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638858640050,1638858651549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858651560,1638858653309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638858653318,1638858654002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858654012,1638858662169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638858662178,1638858664104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638858664113,1638858670353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638858670363,1638858676067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638858676076,1638858677752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638858677765,1638858681539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638858681549,1638858684483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638858684492,1638858687269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638858687279,1638858689664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638858689672,1638858691715
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638858691724,1638858696945
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638858696954,1638858699072
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638858699084,1638858704802
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638858704811,1638858705569
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638858705605,1638858714044
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638858714055,1638858716630
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638858716639,1638858718340
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638858718349,1638858720628
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638858720638,1638858723997
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638858724006,1638858729611
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638858729620,1638858731404
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638858731414,1638858734649
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638858734658,1638858737118
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638858737127,1638858738776
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638858738785,1638858740060
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638858740069,1638858742416
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638858742425,1638858743817
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638858743827,1638858745160
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638858745170,1638858746561
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638858746571,1638858748062
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638858748073,1638858749447
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638858749456,1638858750873
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638858750882,1638858752816
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638858752823,1638858754767
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638858754777,1638858756184
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638858756193,1638858758731
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638858758739,1638858760983
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638858760991,1638858763318
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638858763326,1638858766170
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638858766180,1638858772294
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638858772304,1638858776722
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638858776731,1638858780826
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638858780835,1638858784037
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638858784046,1638858786906
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638858786915,1638858799464
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638858799473,1638858807270
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638858807279,1638858816049
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638858816057,1638858818501
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638858818510,1638858819677
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638858819686,1638858823022
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638858823033,1638858824832
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638858824842,1638858826476
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638858826484,1638858835459
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638858835468,1638858847344
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638858847352,1638858863617
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638858863626,1638858867304
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638858867312,1638858876963
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638858876972,1638858885255
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638858885265,1638858887400
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638858887409,1638858889426
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638858889434,1638858892971
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638858892981,1638858894547
end screen,,1638858894558,1638858895932
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638858895932,1638858901396
end screen,,1638858901406,1638858910612
jump,,1638858910612,1638858912557
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638858912576,1638858913641
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638858913652,1638858915617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638858915661,1638858916568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638858916580,1638858917611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638858917621,1638858918345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638858918393,1638858919012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638858919040,1638858919688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638858919697,1638858920589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638858920599,1638858921384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638858921393,1638858922232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638858922243,1638858923058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638858923067,1638858924051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638858924060,1638858925076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638858925086,1638858925986
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638858925993,1638858926786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638858926795,1638858927504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638858927514,1638858928155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638858928164,1638858929114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638858929122,1638858929914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638858929923,1638858930565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638858930573,1638858931266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638858931274,1638858931925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638858931934,1638858932476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638858932484,1638858933076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638858933086,1638858933727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638858933736,1638858934436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638858934445,1638858935161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638858935171,1638858935879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638858935890,1638858936605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638858936613,1638858937205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638858937214,1638858937655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858937663,1638858938089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638858938098,1638858939115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638858939126,1638858939640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638858939649,1638858940157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638858940166,1638858940708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638858940716,1638858941609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638858941617,1638858942459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638858942468,1638858945888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638858945900,1638858946539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638858946550,1638858947406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638858947415,1638858948007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638858948015,1638858948515
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638858948525,1638858949091
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638858949100,1638858949649
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638858949658,1638858952044
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638858952054,1638858952902
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638858952911,1638858953520
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638858953528,1638858954065
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638858954074,1638858954832
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638858954844,1638858955550
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638858955560,1638858956266
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638858956276,1638858956942
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638858956951,1638858957809
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638858957818,1638858958525
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638858958534,1638858959358
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638858959367,1638858961187
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638858961196,1638858962004
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638858962014,1638858962747
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638858962756,1638858963439
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638858963449,1638858964131
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638858964140,1638858971133
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638858971143,1638858971984
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638858971994,1638858972601
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638858972611,1638858973117
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638858973126,1638858973650
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638858973660,1638858974336
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638858974345,1638858974853
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638858974863,1638858975771
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638858975779,1638858976354
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638858976362,1638858976855
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638858976865,1638858977304
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638858977313,1638858978556
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638858978566,1638858980491
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638858980499,1638858988715
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638858988724,1638858990084
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638858990096,1638858991785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638858991794,1638858992718
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638858992727,1638858993636
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638858993645,1638858994420
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638858994428,1638858995155
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638858995165,1638858995855
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638858995866,1638858996505
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638858996514,1638858997290
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638858997301,1638858998592
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638858998603,1638858999659
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638858999667,1638859000643
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638859000654,1638859001711
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638859001722,1638859002712
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638859002723,1638859027545
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638859027554,1638859028579
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638859028588,1638859030832
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638859030843,1638859033775
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638859033784,1638859034835
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638859034844,1638859035718
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638859035728,1638859037120
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638859037131,1638859038104
end screen,,1638859038116,1638859039731
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638859039731,1638859232312
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638859232324,1638859234926
jump,,1638859234926,1638859237559
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638859237598,1638859238601
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638859238612,1638859239642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638859239652,1638859240586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638859240596,1638859241746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638859241757,1638859242480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638859242519,1638859243130
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638859243161,1638859243872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638859243881,1638859244782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638859244791,1638859245710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638859245720,1638859246742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638859246754,1638859247642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638859247654,1638859248619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638859248628,1638859249811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638859249826,1638859253040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638859253052,1638859253932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638859253944,1638859255034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638859255046,1638859256018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638859256031,1638859257168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638859257182,1638859258211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638859258224,1638859259129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638859259141,1638859260205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638859260217,1638859261223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638859261234,1638859262257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638859262267,1638859263066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638859263080,1638859263951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638859263963,1638859264910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638859264921,1638859265744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638859265757,1638859266344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638859266353,1638859266953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638859266963,1638859267437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638859267448,1638859267979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638859267989,1638859268621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638859268633,1638859269522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638859269536,1638859270581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638859270591,1638859271524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638859271536,1638859272366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638859272375,1638859273066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638859273076,1638859274134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638859274147,1638859275235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638859275245,1638859276053
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638859276065,1638859276803
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638859276813,1638859277663
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638859277672,1638859278564
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638859278575,1638859280976
jump,,1638859280976,1638859294552
end screen,,1638859294583,1638859297739
form save,,1638859298112,
form exit,,1638859298112,
form finalize,,1638859298112,

