event,node,start,end
form start,,1638787211491,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638787211492,1638787212213
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638787212221,1638787213480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638787213488,1638787223365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638787223373,1638787285784
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638787285793,1638787288178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638787288220,1638787290538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638787290570,1638787295802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638787295810,1638787296953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638787296961,1638787298800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638787298808,1638787302875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638787302884,1638787303668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638787303676,1638787313043
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638787313050,1638787320767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638787320774,1638787325063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638787325070,1638787326597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638787326605,1638787346412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638787346420,1638787350424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638787350432,1638787353102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638787353111,1638787399695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638787399703,1638787401297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638787401305,1638787408348
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638787408355,1638787427826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638787427836,1638787438302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638787438309,1638787440629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638787440637,1638787443348
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638787443355,1638787445125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638787445133,1638787447902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638787447910,1638787449346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638787449353,1638787450521
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638787450530,1638787452048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638787452056,1638787453457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638787453465,1638787454984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638787454991,1638787456393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638787456401,1638787457244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638787457252,1638787458045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638787458053,1638787458829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638787458839,1638787459630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638787459637,1638787465896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638787465904,1638787466480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638787466487,1638787466972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638787466977,1638787467664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638787467671,1638787468382
