event,node,start,end
form start,,1638418829356,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638418829358,1638418830469
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638418830485,1638418831784
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638418831797,1638418839738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638418839751,1638418865163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638418865176,1638418868865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638418868893,1638418873799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638418873826,1638418904135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638418904148,1638418905036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638418905047,1638418907821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638418907832,1638418921582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638418921595,1638418922374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638418922387,1638418937170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638418937186,1638418947916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638418947929,1638419093190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638419093202,1638419095040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638419095052,1638419105076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638419105088,1638419108411
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638419108424,1638419109920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638419109933,1638419121156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638419121173,1638419122791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638419122803,1638419149881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638419149893,1638419152675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638419152685,1638419155242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638419155255,1638419161335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638419161347,1638419163244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638419163257,1638419173130
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638419173143,1638419175355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638419175368,1638419178699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638419178712,1638419179999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638419180012,1638419181608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638419181621,1638419184191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638419184203,1638419190528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638419190543,1638419192870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638419192883,1638419194587
