event,node,start,end
form start,,1638872160524,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638872160529,1638872161819
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638872161834,1638872163730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638872163742,1638872166963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638872166974,1638872174894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638872174903,1638872179495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638872179620,1638872185029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638872185042,1638872189537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638872189547,1638872191505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638872191512,1638872194600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638872194608,1638872200202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638872200211,1638872201545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638872201554,1638872210511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638872210519,1638872216134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638872216143,1638872241530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638872241538,1638872243801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638872243809,1638872275641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638872275650,1638872280423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638872280432,1638872282439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638872282447,1638872339339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638872339349,1638872341310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638872341318,1638872348563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638872348571,1638872404086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638872404096,1638872405671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638872405680,1638872417899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638872417907,1638872420118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638872420127,1638872421896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638872421905,1638872423631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638872423639,1638872425376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638872425385,1638872426701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638872426710,1638872428907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638872428916,1638872438457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638872438466,1638872442371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638872442380,1638872447756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638872447765,1638872453373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638872453383,1638872454896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638872454904,1638872456174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638872456183,1638872457527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638872457535,1638872459099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638872459107,1638872460840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638872460849,1638872477544
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638872477557,1638872479829
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638872479837,1638872484727
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638872484753,1638872492283
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638872492296,1638872497198
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638872497231,1638872500271
