event,node,start,end
form start,,1638786129693,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638786129694,1638786130870
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638786130877,1638786131828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638786131835,1638786133114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638786133121,1638786137702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638786137713,1638786140656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638786140786,1638786144443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638786144472,1638786159593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638786159605,1638786212118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638786212128,1638786214121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638786214131,1638786216822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638786216834,1638786217398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638786217409,1638786221762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638786221774,1638786222512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638786222524,1638786233432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638786233444,1638786256266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638786256278,1638786259619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638786259631,1638786260804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638786260815,1638786274712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638786274724,1638786280960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638786280973,1638786282369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638786282381,1638786288701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638786288713,1638786290003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638786290017,1638786292214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638786292228,1638786293866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638786293881,1638786295293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638786295307,1638786296703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638786296716,1638786297962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638786297973,1638786300766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638786300777,1638786302284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638786302295,1638786303895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638786303906,1638786305154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638786305166,1638786306422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638786306435,1638786307607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638786307619,1638786309199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638786309212,1638786310392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638786310403,1638786312027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638786312041,1638786313162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638786313174,1638786314179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638786314193,1638786315180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638786315194,1638786316181
