event,node,start,end
form start,,1639457560701,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639457560702,1639457959894
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639457959903,1639457961386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639457961395,1639457962773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639457962781,1639457967428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639457967441,1639457971422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639457971488,1639457975791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639457975801,1639457981069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639457981076,1639457999149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639457999157,1639458002415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639458002427,1639458008290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639458008298,1639458009186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639458009194,1639458019230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639458019238,1639458024822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639458024830,1639458030614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639458030621,1639458031942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639458031950,1639458050270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639458050278,1639458054741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639458054753,1639458056179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639458056187,1639458075802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639458075811,1639458078411
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639458078420,1639458084734
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639458084744,1639458112671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639458112679,1639458113127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639458113137,1639458115373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639458115383,1639458116781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458116789,1639458119099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458119109,1639458122971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458122980,1639458137339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458137346,1639458151742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458151752,1639458152408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458152418,1639458153138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458153146,1639458154226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639458154236,1639458155174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458155183,1639458155565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458155575,1639458156163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458156172,1639458156654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458156667,1639458157243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639458157252,1639458159075
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639458159082,1639458160455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639458160463,1639458162689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639458162699,1639458164136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639458164145,1639458183428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639458183437,1639458185079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639458185087,1639458188293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639458188303,1639458191109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639458191118,1639458203394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639458203403,1639458205401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639458205411,1639458210620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639458210627,1639458213978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639458213986,1639458215340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639458215349,1639458217201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639458217209,1639458219196
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639458219205,1639458221254
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639458221261,1639458224662
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639458224709,1639458233248
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639458233262,1639458234623
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639458234630,1639458235601
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639458235610,1639458236477
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639458236486,1639458238528
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639458238538,1639458242937
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639458242944,1639458245295
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639458245304,1639458246283
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639458246290,1639458249706
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639458249713,1639458259017
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639458259026,1639458271097
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639458271107,1639458274219
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639458274228,1639458275999
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639458276009,1639458278039
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639458278047,1639458282956
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639458282966,1639458284417
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639458284425,1639458285424
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639458285433,1639458286525
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639458286534,1639458287617
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639458287628,1639458289224
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639458289235,1639458290644
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639458290653,1639458295997
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639458296006,1639458297645
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639458297664,1639458299013
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639458299020,1639458301584
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639458301592,1639458303526
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639458303533,1639458304738
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639458304750,1639458305420
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639458305428,1639458309825
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639458309832,1639458312335
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639458312343,1639458322646
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639458322654,1639458324421
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639458324429,1639458329211
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639458329219,1639458332704
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639458332712,1639458334937
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639458334945,1639458335942
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639458335952,1639458338007
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639458338016,1639458339426
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639458339436,1639458347909
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639458347918,1639458350775
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639458350783,1639458366943
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639458366951,1639458368061
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639458368069,1639458369919
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639458369927,1639458373597
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639458373607,1639458380454
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639458380462,1639458384241
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639458384249,1639458386502
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639458386510,1639458387716
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639458387725,1639458389829
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639458389837,1639458394724
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639458394734,1639458395795
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639458395804,1639458399662
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639458399669,1639458405411
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639458405422,1639458412039
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639458412046,1639458418730
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639458418738,1639458420899
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639458420907,1639458423880
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639458423889,1639458425872
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639458425883,1639458427707
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639458427716,1639458429250
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639458429259,1639458430269
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639458430277,1639458432459
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639458432467,1639458447638
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639458447646,1639458457049
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639458457059,1639458462722
