event,node,start,end
form start,,1639545986135,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639545986135,1639545986863
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639545986871,1639545988223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639545988233,1639545989748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639545989760,1639545997706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639545997718,1639546001363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639546001390,1639546004195
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639546004209,1639546012611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639546012621,1639546014417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639546014427,1639546015256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639546015267,1639546015801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639546015811,1639546019683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639546019692,1639546032108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639546032119,1639546033061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639546033072,1639546038879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639546038889,1639546047985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639546047996,1639546060289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639546060299,1639546062101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639546062114,1639546192255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639546192265,1639546196069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639546196078,1639546234357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639546234367,1639546235942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639546235951,1639546238334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639546238349,1639546254701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639546254714,1639546261387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639546261396,1639546273163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639546273173,1639546289340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639546289350,1639546291935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639546291946,1639546294960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639546294970,1639546300592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639546300601,1639546302047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639546302057,1639546303403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639546303414,1639546305111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639546305123,1639546307756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639546307768,1639546309229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639546309241,1639546310656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639546310669,1639546312246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639546312259,1639546313681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639546313693,1639546315611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639546315623,1639546321988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639546321999,1639546325551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639546325565,1639546327279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639546327294,1639546329395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639546329409,1639546331335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639546331347,1639546332961
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639546332974,1639546334601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639546334613,1639546337168
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639546337182,1639546340853
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639546340868,1639546343836
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639546343864,1639546347460
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639546347475,1639546351959
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639546351973,1639546353860
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639546353875,1639546359528
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639546359540,1639546363244
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639546363259,1639546365763
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639546365776,1639546367719
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639546367732,1639546368863
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639546368875,1639546371314
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639546371325,1639546374095
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639546374107,1639546376229
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639546376240,1639546377760
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639546377771,1639546379107
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639546379119,1639546381678
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639546381689,1639546397608
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639546397617,1639546400429
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639546400438,1639546403652
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639546403661,1639546404806
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639546404816,1639546406559
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639546406570,1639546412175
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639546412186,1639546414789
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639546414800,1639546417393
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639546417405,1639546419273
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639546419285,1639546422277
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639546422291,1639546426412
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639546426424,1639546429269
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639546429281,1639546432273
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639546432287,1639546440544
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639546440557,1639546446750
