event,node,start,end
form start,,1639301756370,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639301756373,1639301759820
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639301759843,1639301761184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639301761198,1639301764571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639301764582,1639301790185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639301790198,1639301794629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639301794658,1639301797863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639301797887,1639301811925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639301811938,1639301953426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639301953439,1639301962280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639301962293,1639301967097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639301967110,1639301968247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639301968259,1639301993825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639301993835,1639302007672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639302007683,1639302014430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639302014445,1639302016205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639302016217,1639302016797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639302016809,1639302020232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639302020245,1639302036962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639302036972,1639302038546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639302038559,1639302049417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639302049430,1639302057886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639302057899,1639302059687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639302059700,1639302076778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639302076792,1639302080395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639302080408,1639302089649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639302089659,1639302103094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639302103106,1639302107028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639302107039,1639302130553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639302130565,1639302131453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639302131465,1639302133229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639302133240,1639302140349
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639302140361,1639302153013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639302153027,1639302158581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639302158593,1639302161291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639302161302,1639302163283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639302163295,1639302165616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639302165632,1639302167750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639302167763,1639302169401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639302169413,1639302170709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639302170723,1639302172393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639302172406,1639302173985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639302173999,1639302178536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639302178551,1639302182154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639302182168,1639302205598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639302205609,1639302211838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639302211851,1639302213946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639302213955,1639302226519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639302226530,1639302235286
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639302235297,1639302241823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639302241834,1639302243623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639302243634,1639302244591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639302244602,1639302245949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639302245961,1639302250326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639302250336,1639302257884
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639302257899,1639302260952
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639302260964,1639302263136
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639302263149,1639302270895
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639302270909,1639302273946
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639302273958,1639302276005
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639302276018,1639302277072
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639302277084,1639302279347
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639302279360,1639302280097
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639302280108,1639302294194
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639302294206,1639302297839
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639302297851,1639302313573
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639302313585,1639302319692
