event,node,start,end
form start,,1639304724704,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639304724706,1639304725911
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639304725923,1639304730085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639304730097,1639304732023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639304732036,1639304740401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639304740414,1639304744415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639304744455,1639304749828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639304749871,1639304750727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639304750742,1639304751676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639304751688,1639304753975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639304753987,1639304755557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639304755568,1639304756723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639304756754,1639304758039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639304758073,1639304792715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639304792726,1639304822561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639304822573,1639304825895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639304825907,1639304830656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639304830669,1639304832038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639304832049,1639304843096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639304843108,1639304857670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639304857682,1639304885450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639304885462,1639304886965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639304886979,1639304902089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639304902099,1639304908135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639304908147,1639304909767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639304909780,1639304934315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639304934325,1639304935281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639304935292,1639304937879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639304937890,1639304940395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639304940407,1639304945724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639304945736,1639304985048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304985059,1639304988245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639304988257,1639304994407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639304994420,1639304998455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639304998467,1639305004217
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639305004229,1639305009664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639305009675,1639305011578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639305011590,1639305016293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639305016305,1639305021655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639305021666,1639305027817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639305027830,1639305032730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639305032743,1639305038993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639305039005,1639305050885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639305050896,1639305076017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639305076027,1639305079614
