event,node,start,end
form start,,1639546053281,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639546053283,1639546056200
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639546056220,1639546057753
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639546057765,1639546073470
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639546073485,1639546075121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639546075135,1639546077701
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639546077714,1639546079616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639546079628,1639546080751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639546080772,1639546087113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639546087125,1639546090607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639546090662,1639546097303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639546097324,1639546124541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639546124549,1639546172658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639546172673,1639546175550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639546175565,1639546178910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639546178923,1639546179898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639546179919,1639546186239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639546186253,1639546193051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639546193062,1639546200516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639546200528,1639546204385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639546204401,1639546218052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639546218064,1639546223242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639546223261,1639546224979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639546224996,1639546241956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639546241974,1639546250989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639546251003,1639546252877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639546252888,1639546254000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639546254015,1639546266386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639546266404,1639546267313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639546267330,1639546270438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639546270455,1639546290097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639546290114,1639546291894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639546291906,1639546295088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639546295100,1639546302008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639546302029,1639546311626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639546311638,1639546313049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639546313065,1639546316258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639546316278,1639546316834
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639546316850,1639546317321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639546317332,1639546317779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639546317792,1639546318196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639546318208,1639546318656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639546318666,1639546319117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639546319128,1639546319664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639546319676,1639546320340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639546320362,1639546320798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639546320811,1639546321384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639546321393,1639546322121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639546322132,1639546323550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639546323566,1639546324377
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639546324394,1639546325148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639546325158,1639546325841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639546325853,1639546326594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639546326607,1639546327544
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639546327562,1639546329058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639546329074,1639546331072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639546331090,1639546332785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639546332801,1639546333452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639546333461,1639546335169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639546335188,1639546336586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639546336602,1639546338073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639546338094,1639546339637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639546339654,1639546341592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639546341611,1639546345788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639546345800,1639546348391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639546348409,1639546349560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639546349576,1639546350624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639546350642,1639546351802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639546351816,1639546353174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639546353194,1639546356269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639546356287,1639546376317
