event,node,start,end
form start,,1638939906329,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638939906329,1638939907084
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638939907099,1638939908672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638939908683,1638939913151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638939913163,1638939917594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638939917605,1638939923037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638939923095,1638939925863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638939925889,1638939935874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638939935887,1638939937225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638939937236,1638939939468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638939939480,1638939951294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638939951309,1638939952502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638939952515,1638939954886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638939954899,1638939955787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638939955801,1638939969474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638939969486,1638939970525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638939970539,1638939978852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638939978865,1638939989972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638939989984,1638939998770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638939998782,1638940001270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638940001284,1638940025550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638940025562,1638940030242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638940030253,1638940031860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638940031869,1638940045138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638940045151,1638940047430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638940047441,1638940069352
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638940069363,1638940070945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638940070956,1638940072562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638940072573,1638940074137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638940074150,1638940076187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638940076201,1638940079739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638940079752,1638940081989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638940082000,1638940086482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638940086496,1638940088008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638940088018,1638940089450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638940089462,1638940090851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638940090863,1638940092200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638940092212,1638940093676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638940093690,1638940102686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638940102698,1638940103885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638940103900,1638940105244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638940105257,1638940107378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638940107391,1638940108628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638940108643,1638940110095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638940110107,1638940113771
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638940113783,1638940118698
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638940118712,1638940127325
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638940127349,1638940133869
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638940133913,1638940135803
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638940135816,1638940139713
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638940139727,1638940142930
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638940142943,1638940145148
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638940145160,1638940147048
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638940147061,1638940150002
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638940150016,1638940152544
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638940152555,1638940158841
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638940158853,1638940162592
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638940162607,1638940166660
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638940166672,1638940170853
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638940170866,1638940172776
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638940172789,1638940173843
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638940173855,1638940175922
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638940175935,1638940177471
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638940177486,1638940178831
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638940178844,1638940180138
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638940180154,1638940183540
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638940183555,1638940185832
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638940185844,1638940187249
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638940187261,1638940188732
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638940188746,1638940190331
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638940190343,1638940191481
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638940191495,1638940197317
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638940197332,1638940199643
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638940199658,1638940203619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638940203632,1638940205777
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638940205790,1638940208736
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638940208749,1638940212143
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638940212156,1638940214520
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638940214535,1638940221620
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638940221630,1638940224704
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638940224717,1638940239384
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638940239396,1638940242885
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638940242897,1638940245785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638940245796,1638940248203
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638940248215,1638940249928
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638940249939,1638940251904
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638940251916,1638940255004
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638940255016,1638940268104
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638940268115,1638940270771
