event,node,start,end
form start,,1638354582221,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638354582222,1638354583167
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638354583175,1638354584827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638354584834,1638354589083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638354589096,1638354595248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638354595262,1638354598744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638354598774,1638354604341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638354604367,1638354657041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638354657055,1638354672809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638354672821,1638354676023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638354676037,1638354688876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354688889,1638354689835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638354689848,1638354716280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638354716294,1638354773719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638354773733,1638354784197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638354784211,1638354786858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638354786871,1638354803535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638354803550,1638354814864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638354814878,1638354816433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638354816446,1638354847658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638354847672,1638354849852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638354849866,1638354854357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638354854373,1638354861917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638354861930,1638354863585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638354863599,1638354865094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638354865109,1638354866571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638354866585,1638354867931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638354867944,1638354869341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638354869355,1638354870917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638354870931,1638354872186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638354872199,1638354873888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638354873901,1638354875197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638354875212,1638354886317
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638354886329,1638354888870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638354888882,1638354896211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638354896224,1638354897712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638354897726,1638354899857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638354899871,1638354901016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638354901029,1638354902968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638354902982,1638354906789
