event,node,start,end
form start,,1639377219901,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639377219902,1639377220699
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639377220708,1639377222220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639377222227,1639377223562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639377223568,1639377240528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639377240535,1639377246354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639377246416,1639377249019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639377249029,1639377266549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639377266556,1639377360797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639377360804,1639377367537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639377367543,1639377370403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639377370409,1639377371238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639377371244,1639377371993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639377371999,1639377373032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639377373038,1639377373963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639377373969,1639377374815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639377374820,1639377384931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639377384937,1639377386081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639377386088,1639377386484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639377386492,1639377387034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639377387040,1639377387945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639377387951,1639377389038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639377389045,1639377407466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639377407472,1639377408479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639377408486,1639377438571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639377438578,1639377458048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639377458054,1639377463136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639377463143,1639377464764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639377464771,1639377473866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639377473872,1639377476983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639377476989,1639377478566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639377478574,1639377496388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639377496394,1639377498330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639377498337,1639377500973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639377500979,1639377509794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639377509801,1639377511292
