event,node,start,end
form start,,1638353976991,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638353976993,1638353980296
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638353980308,1638353981974
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638353981981,1638353984024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638353984031,1638354006340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638354006347,1638354013353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638354013418,1638354017653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638354017696,1638354033247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638354033255,1638354057860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638354057870,1638354063574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638354063583,1638354072017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354072025,1638354073369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638354073378,1638354102472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638354102481,1638354120753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638354120762,1638354126207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638354126214,1638354128222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638354128238,1638354145516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638354145522,1638354169331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638354169339,1638354173336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638354173344,1638354191107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638354191116,1638354193799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638354193808,1638354198473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638354198480,1638354213096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638354213104,1638354217074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638354217081,1638354221500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638354221509,1638354223081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638354223090,1638354225302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638354225311,1638354227063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638354227070,1638354231834
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638354231840,1638354233914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638354233921,1638354235653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638354235661,1638354237641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638354237648,1638354248786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638354248794,1638354252076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638354252084,1638354272900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638354272910,1638354288060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638354288070,1638354295208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638354295215,1638354295923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638354295932,1638354300592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638354300601,1638354301771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638354301780,1638354302844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638354302854,1638354306372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638354306381,1638354318542
