event,node,start,end
form start,,1638850360834,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638850360835,1638850363478
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638850363483,1638850364789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638850364794,1638850380113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638850380116,1638850400622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638850400628,1638850406497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638850406591,1638850409221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638850409307,1638850420791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638850420798,1638850473249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638850473262,1638850475492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638850475497,1638850480962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638850480967,1638850482445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638850482454,1638850514772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638850514777,1638850528044
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638850528051,1638850530752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638850530758,1638850585559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638850585566,1638850593503
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638850593508,1638850594950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638850594954,1638850611490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638850611496,1638850614908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638850614913,1638850616488
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638850616492,1638850645756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638850645761,1638850648848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638850648854,1638850651644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638850651648,1638850658171
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638850658179,1638850663987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638850663993,1638850666602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638850666607,1638850670548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638850670554,1638850673366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638850673371,1638850675462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638850675467,1638850677529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638850677536,1638850683302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638850683307,1638850685333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638850685339,1638850686618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638850686626,1638850687879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638850687885,1638850689176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638850689182,1638850693967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638850693972,1638850695514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638850695519,1638850698255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638850698260,1638850699376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638850699384,1638850700572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638850700576,1638850701713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638850701722,1638850702758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638850702762,1638850703817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638850703822,1638850707080
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638850707084,1638850710975
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638850710981,1638850712368
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638850712372,1638850717787
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638850717794,1638850719227
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638850719233,1638850728375
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638850728379,1638850729504
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638850729522,1638850733146
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638850733152,1638850735359
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638850735365,1638850736876
