event,node,start,end
form start,,1639037636685,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639037636686,1639037637413
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639037637421,1639037727393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639037727399,1639037733453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639037733460,1639037738235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639037738242,1639037741344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639037741362,1639037743881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639037743893,1639037752328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639037752337,1639037769429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639037769438,1639037771982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639037771991,1639037781057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639037781067,1639037782212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639037782221,1639037814385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639037814394,1639037837654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639037837663,1639037843451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639037843460,1639037845133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639037845142,1639037869087
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639037869097,1639037876940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639037876947,1639037878446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639037878455,1639037896428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639037896437,1639037902263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639037902274,1639037966598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639037966605,1639037973857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639037973866,1639037979207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639037979216,1639037985907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639037985917,1639037990617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639037990627,1639037993452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639037993472,1639037995743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639037995752,1639038001282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639038001295,1639038002495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639038002504,1639038003757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639038003766,1639038004951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639038004961,1639038006569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639038006580,1639038007864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639038007871,1639038009201
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639038009209,1639038010388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639038010397,1639038012270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639038012280,1639038013633
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639038013642,1639038020068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639038020077,1639038022137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639038022147,1639038025322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639038025331,1639038026561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639038026570,1639038027682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639038027691,1639038031381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639038031391,1639038033189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639038033200,1639038035013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639038035022,1639038039166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639038039179,1639038040539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639038040550,1639038050394
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639038050406,1639038055368
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639038055377,1639038064266
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639038064285,1639038073507
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639038073518,1639038075717
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639038075728,1639038078307
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639038078319,1639038080763
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639038080773,1639038082995
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639038083004,1639038083659
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639038083668,1639038085394
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639038085402,1639038087487
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639038087496,1639038089172
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639038089180,1639038091356
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639038091368,1639038092487
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639038092497,1639038093475
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639038093485,1639038094679
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639038094689,1639038097051
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639038097061,1639038099459
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639038099470,1639038100355
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639038100363,1639038104082
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639038104092,1639038105766
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639038105775,1639038107060
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639038107069,1639038108538
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639038108547,1639038109734
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639038109743,1639038110963
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639038110972,1639038112167
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639038112176,1639038113958
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639038113968,1639038116373
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639038116382,1639038117716
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639038117726,1639038118980
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639038118989,1639038121605
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639038121615,1639038123555
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639038123565,1639038125654
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639038125665,1639038127420
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639038127434,1639038128956
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639038128966,1639038130859
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639038130868,1639038132185
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639038132195,1639038134146
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639038134156,1639038136738
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639038136748,1639038142791
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639038142802,1639038146675
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639038146685,1639038152410
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639038152421,1639038158516
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639038158524,1639038160634
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639038160642,1639038166973
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639038166981,1639038168410
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639038168421,1639038169958
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639038169966,1639038170357
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639038170367,1639038171237
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639038171245,1639038179447
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639038179455,1639038180004
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639038180013,1639038180643
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639038180652,1639038181850
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639038181858,1639038182347
