event,node,start,end
form start,,1639458627405,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639458627406,1639458628550
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639458628557,1639458630869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639458630875,1639458633154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639458633160,1639458642196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639458642202,1639458654526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639458654575,1639458660093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639458660106,1639458675690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639458675698,1639458696101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639458696109,1639458700184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639458700192,1639458731490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639458731502,1639458732787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639458732794,1639458759859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639458759867,1639458773571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639458773578,1639458799073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639458799080,1639458800980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639458800990,1639458817643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639458817651,1639458908506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639458908513,1639458911290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639458911300,1639458925341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639458925349,1639458927873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639458927923,1639458932782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639458932790,1639458934841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639458934850,1639458936410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458936418,1639458938062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458938069,1639458939884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458939892,1639458960975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458960982,1639458963470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458963478,1639458966018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458966025,1639458968566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639458968573,1639458971434
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639458971441,1639458973913
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639458973920,1639458975617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639458975623,1639458977102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639458977109,1639458980154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639458980162,1639458982958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639458982967,1639458984342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639458984349,1639458985926
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639458985934,1639458987614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639458987622,1639458991493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639458991498,1639458992591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639458992600,1639458993266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639458993275,1639458993822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639458993830,1639458999204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639458999213,1639459000401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639459000409,1639459001345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639459001353,1639459005125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639459005134,1639459008666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639459008676,1639459012007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639459012018,1639459014740
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639459014749,1639459018721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639459018728,1639459023022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639459023030,1639459026885
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639459026893,1639459029045
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639459029055,1639459034643
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639459034680,1639459038455
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639459038468,1639459040581
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639459040592,1639459042910
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639459042919,1639459047275
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639459047282,1639459049164
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639459049171,1639459051189
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639459051199,1639459054561
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639459054569,1639459057091
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639459057099,1639459060923
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639459060931,1639459063992
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639459064002,1639459069726
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639459069737,1639459070683
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639459070694,1639459072289
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639459072299,1639459074446
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639459074452,1639459076723
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639459076731,1639459087719
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639459087728,1639459091037
