event,node,start,end
form start,,1638695077348,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638695077352,1638695078467
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638695078478,1638695080023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638695080032,1638695233583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638695233592,1638695243909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638695243917,1638695248303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638695248407,1638695251551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638695251563,1638695271246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638695271253,1638695279447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638695279456,1638695285852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638695285860,1638695291952
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638695291960,1638695293258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638695293267,1638695305149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638695305157,1638695320995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638695321003,1638695355354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638695355362,1638695357159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638695357167,1638695385342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638695385351,1638695397233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638695397243,1638695399249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638695399258,1638695422679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638695422686,1638695424464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638695424470,1638695428448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638695428455,1638695438353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638695438369,1638695443358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638695443366,1638695445869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638695445877,1638695454857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638695454871,1638695459845
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638695459852,1638695463143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638695463151,1638695473889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638695473896,1638695502196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638695502205,1638695507475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638695507484,1638695509605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638695509612,1638695512136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638695512144,1638695513916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638695513924,1638695523487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638695523495,1638695527120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638695527128,1638695532858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638695532866,1638695535849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638695535861,1638695539067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638695539076,1638695547356
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638695547364,1638695552710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638695552718,1638695555925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638695555933,1638695556725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638695556733,1638695559550
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638695559559,1638695564066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638695564076,1638695570894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638695570905,1638695587710
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638695587720,1638695591305
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638695591313,1638695594331
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638695594343,1638695603197
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638695603207,1638695605195
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638695605203,1638695609685
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638695609696,1638695612459
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638695612470,1638695617317
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638695617328,1638695630696
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638695630708,1638695634382
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638695634392,1638695638575
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638695638583,1638695642579
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638695642588,1638695647611
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638695647622,1638695651651
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638695651660,1638695653817
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638695653827,1638695655014
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638695655022,1638695675879
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638695675888,1638695691429
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638695691438,1638695702705
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638695702714,1638695708271
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638695708280,1638695715159
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638695715167,1638695723665
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638695723675,1638695728661
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638695728669,1638695746390
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638695746398,1638695748687
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638695748694,1638695770480
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638695770487,1638695783225
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638695783234,1638695786564
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638695786573,1638695840538
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638695840546,1638695843168
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638695843177,1638695850242
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638695850250,1638695870094
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638695870101,1638695872669
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638695872677,1638695876643
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638695876651,1638695882886
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638695882895,1638695897508
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638695897517,1638695908377
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638695908384,1638695922380
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638695922388,1638695929309
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638695929319,1638695942315
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638695942325,1638695944373
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638695944386,1638695948097
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638695948106,1638695968684
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638695968692,1638695973769
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638695973777,1638695980417
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638695980424,1638695988683
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638695988690,1638695998057
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638695998065,1638696002871
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638696002881,1638696005687
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638696005695,1638696014970
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638696014977,1638696018808
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638696018817,1638696021693
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638696021702,1638696025798
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638696025806,1638696028668
end screen,,1638696028678,1638696304768
form save,,1638696305041,
form exit,,1638696305041,
form finalize,,1638696305041,
form resume,,1638703464412,
jump,,1638703464412,1638703486652
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638703486679,1638703497803
form exit,,1638703497803,
form resume,,1638703504412,
jump,,1638703504413,1638703683581
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638703683611,1638703685774
form exit,,1638703685774,
form resume,,1638703835904,
jump,,1638703835905,1638704360803
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638704360830,1638704363276
form exit,,1638704363276,

