event, node, start, end
form start,,1638268156580,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638268156581,1638268218439
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638268218442,1638268235056
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1638268235058,1638268241455
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1638268241456,1638268278777
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1638268278778,1638268282911
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1638268282912,1638268288230
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1638268288231,1638268298352
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1638268298353,1638268400492
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1638268400493,1638268403606
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1638268403607,1638268412375
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1638268412376,1638268413232
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638268413232,1638268430550
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638268430550,1638268432419
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638268432419,1638268433267
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638268433267,1638268457016
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638268457017,1638268499000
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638268499001,1638268500421
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638268500423,1638268510148
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638268510149,1638268510551
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638268510552,1638268518847
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638268518848,1638268526551
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638268526551,1638268547011
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1638268547012,1638268555454
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1638268555455,1638268569802
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1638268569803,1638268576716
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1638268576717,1638268578325
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1638268578326,1638268585165
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1638268585166,1638268589969
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638268589971,1638268602643
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638268602643,1638268620555
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638268620556,1638268621305
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638268621307,1638268649566
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638268649567,1638268658827
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638268658827,1638268661623
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638268661624,1638268664918
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638268664918,1638268665589
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638268665589,1638268666647
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638268666648,1638268668394
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638268668395,1638268672446
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638268672446,1638268673892
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1638268673893,1638268675383
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638268675384,1638268676701
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638268676702,1638268677824
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638268677824,1638268682005
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638268682006,1638268682528
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638268682529,1638268682968
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638268682969,1638268690839
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638268690840,1638268691433
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638268691433,1638268692918
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1638268692919,1638268695282
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638268695282,1638268706416
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/total_mem_confirm,1638268706417,1638268707943
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638268707944,1638268709277
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1638268709278,1638268709887
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638268709888,1638268710641
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638268710642,1638268711364
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638268711365,1638268714641
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638268714642,1638268718351
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638268718352,1638268718759
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638268718760,1638268719200
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638268719202,1638268719631
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1638268719632,1638268720070
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638268720071,1638268720493
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638268720494,1638268724136
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638268724136,1638268730666
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638268730666,1638268734509
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/HHH_diff_seeing,1638268734510,1638268739464
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638268739465,1638268746527
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1638268746528,1638268748575
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1638268748576,1638268750247
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1638268750248,1638268750605
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638268750606,1638268751587
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/HHH_diff_seeing,1638268751587,1638268753243
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638268753244,1638268753954
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1638268753954,1638268754531
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1638268754531,1638268762399
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1638268762400,1638268764430
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1638268764430,1638268766184
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1638268766185,1638268766859
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1638268766860,1638268769933
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1638268769934,1638268771061
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1638268771062,1638268777187
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_communicating,1638268777188,1638268780327
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1638268780328,1638268789801
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1638268789801,1638268809089
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/displaced_province,1638268809090,1638268817894
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/displaced_district,1638268817895,1638268823330
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/displacement_duration,1638268823331,1638268825216
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/move_intention,1638268825217,1638268829190
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1638268829191,1638268836370
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1638268836371,1638268841679
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1638268841680,1638268846872
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1638268846873,1638268859775
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1638268859780,1638268864187
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1638268864188,1638268868403
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1638268868404,1638268878219
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1638268878220,1638268886852
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/working,1638268886854,1638268890940
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/borrow,1638268890941,1638268896114
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/medical_attention,1638268896115,1638268907734
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/early_marry,1638268907735,1638268925912
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_eat_note,1638268925915,1638268926617
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/cereal,1638268926618,1638268928269
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/pulse,1638268928270,1638268945239
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/vegetable,1638268945241,1638268972359
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/fruit,1638268972361,1638268976551
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/meat,1638268976552,1638268984194
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/dairy,1638268984194,1638268989766
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/sugar,1638268989767,1638268996940
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/oil,1638268996941,1638269001966
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/condiment,1638269001967,1638269012916
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/hh_had_to_note,1638269012917,1638269013988
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/less_food,1638269013989,1638269040424
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/borrow_food,1638269040425,1638269060456
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/limit_mealtime,1638269060457,1638269089188
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/restrict_consumption,1638269089189,1638269108335
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/reduce_meal,1638269108336,1638269127956
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/childs_health,1638269127957,1638269161693
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_type,1638269161695,1638269165647
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_resident,1638269165649,1638269172087
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/tenure_status,1638269172088,1638269177388
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/shelter_concern,1638269177389,1638269213787
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/nfi_need,1638269213789,1638269233123
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_access,1638269233125,1638269237435
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_source,1638269237436,1638269238910
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/water_far_distance,1638269238911,1638269240519
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/latrine_access,1638269240520,1638269249633
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/latrine_disability_friendly,1638269249634,1638269263461
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs[1]/handwashing_facilities,1638269263462,1638269267339
question,/ameM9v8nctyy8MRHMJfRX7/health[1]/health_fac_2hours,1638269267340,1638269270407
question,/ameM9v8nctyy8MRHMJfRX7/health[1]/health_barriers,1638269270408,1638269294705
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_amount,1638269294706,1638269350042
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_expenditure,1638269350043,1638269378077
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/adult_working,1638269378078,1638269380129
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/debt_expenditure,1638269380130,1638269380960
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile[1]/adult_working,1638269380961,1638269384501
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/protection_question,1638269384502,1638269388681
question,/ameM9v8nctyy8MRHMJfRX7/protection[1]/environmental_dangers,1638269388682,1638269451104
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/assist_preference,1638269451104,1638269460904
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/cash_safe_market,1638269460905,1638269464285
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod[1]/feedback_preference,1638269464286,1638269501978
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638269501979,1638269506199
end screen,,1638269506200,1638269515760
form save,,1638269515760,
form exit,,1638269515760,
form finalize,,1638269515760,

