event,node,start,end
form start,,1638769472242,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638769472243,1638769473058
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638769473067,1638769474535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638769474546,1638769477520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638769477528,1638769482424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638769482431,1638769487146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638769487183,1638769489611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638769489643,1638769498067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638769498074,1638769521858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638769521866,1638769524848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638769524856,1638769528173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638769528181,1638769529059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638769529066,1638769545537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638769545545,1638769570354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638769570362,1638769593892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638769593902,1638769595288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638769595296,1638769613955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638769613963,1638769632689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638769632697,1638769633582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638769633589,1638769642006
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638769642013,1638769643267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638769643276,1638769672738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638769672748,1638769675279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638769675291,1638769689241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638769689248,1638769700775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638769700783,1638769704574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638769704582,1638769705970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638769705978,1638769715353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638769715360,1638769728531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638769728538,1638769735600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638769735610,1638769736895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638769736903,1638769738091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638769738098,1638769739870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638769739878,1638769740981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638769740989,1638769742192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638769742200,1638769743571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638769743579,1638769801846
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638769801854,1638769802866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638769802876,1638769803635
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638769803642,1638769804413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638769804422,1638769805165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638769805171,1638769813020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638769813029,1638769821826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638769821834,1638769822729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638769822737,1638769823531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638769823539,1638769824191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638769824201,1638769824842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638769824852,1638769825486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638769825494,1638769839591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638769839599,1638769851180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638769851190,1638769853419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638769853429,1638769856820
