event,node,start,end
form start,,1638422279130,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638422279131,1638422279772
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638422279783,1638422287639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638422287649,1638422289365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638422289375,1638422293422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638422293433,1638422296780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638422296804,1638422299116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638422299139,1638422311092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638422311104,1638422312343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638422312354,1638422314566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638422314577,1638422323351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638422323362,1638422324414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638422324425,1638422331435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638422331446,1638422337398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638422337409,1638422343677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638422343688,1638422345536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638422345546,1638422361816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638422361827,1638422370011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638422370022,1638422371685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638422371698,1638422381162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638422381172,1638422399482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638422399493,1638422437601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638422437612,1638422504209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638422504220,1638422508058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638422508068,1638422515458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638422515468,1638422518341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638422518351,1638422520907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638422520917,1638422521549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638422521555,1638422522249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638422522256,1638422523066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638422523077,1638422529405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638422529415,1638422529965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638422529973,1638422530855
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638422530867,1638422531689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638422531701,1638422534621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638422534632,1638422536725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638422536735,1638422537640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638422537651,1638422538406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638422538413,1638422539008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638422539015,1638422539602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638422539609,1638422540244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638422540252,1638422540820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638422540828,1638422541612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638422541623,1638422542370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638422542378,1638422543211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638422543223,1638422544291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638422544303,1638422548770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638422548782,1638422553178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638422553190,1638422554680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638422554693,1638422556082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638422556094,1638422558533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638422558546,1638422561587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638422561599,1638422562990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638422563003,1638422564433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638422564445,1638422567375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638422567389,1638422568604
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638422568617,1638422569667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638422569680,1638422571174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638422571187,1638422572417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638422572431,1638422573786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638422573799,1638422579195
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638422579207,1638422581705
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638422581716,1638422585617
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638422585639,1638422588463
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638422588485,1638422590095
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638422590107,1638422592728
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638422592740,1638422595269
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638422595282,1638422601971
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638422601983,1638422604672
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638422604684,1638422609219
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638422609233,1638422618536
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638422618548,1638422619642
