event,node,start,end
form start,,1639466067897,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639466067899,1639466068851
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639466068867,1639466070163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639466070176,1639466074170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639466074183,1639466080220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639466080233,1639466084448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639466084483,1639466087699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639466087725,1639466094551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639466094564,1639466141396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639466141411,1639466145538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639466145548,1639466148821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639466148833,1639466149905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639466149915,1639466161458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639466161469,1639466176254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639466176267,1639466189613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639466189625,1639466191631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639466191645,1639466218575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639466218587,1639466228637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639466228647,1639466230337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639466230349,1639466242741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639466242753,1639466246600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639466246612,1639466261404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639466261416,1639466269349
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639466269364,1639466272542
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639466272555,1639466274475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639466274487,1639466278451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639466278466,1639466280986
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639466280999,1639466286204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639466286215,1639466295541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639466295554,1639466297717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639466297730,1639466303819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639466303831,1639466305611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639466305623,1639466311163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639466311175,1639466313330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639466313344,1639466315440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639466315452,1639466316823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639466316840,1639466318540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639466318552,1639466319924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639466319934,1639466321799
