event,node,start,end
form start,,1639294851336,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639294851339,1639294854808
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639294854897,1639294858862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639294858868,1639294861375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639294861379,1639294868693
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639294868702,1639294874981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639294875101,1639294879765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639294879825,1639294889479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639294889488,1639295016656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639295016692,1639295023002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639295023011,1639295041360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639295041374,1639295042738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639295042744,1639295087830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639295087843,1639295113129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639295113263,1639295134026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639295134036,1639295136963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639295136970,1639295194334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639295194343,1639295203950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639295203966,1639295206430
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639295206438,1639295225644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639295225652,1639295228703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639295228708,1639295230110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639295230118,1639295231902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639295231916,1639295239378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639295239387,1639295261928
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639295261937,1639295278956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639295278961,1639295288944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639295288950,1639295294961
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639295294967,1639295295528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639295295534,1639295296022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639295296072,1639295296537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639295296542,1639295297377
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639295297381,1639295298043
