event,node,start,end
form start,,1638956987039,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638956987040,1638957051620
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638957051633,1638957184330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638957184339,1638957186055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638957186071,1638957191849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638957191873,1638957198721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638957198841,1638957208687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638957208736,1638957215514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638957215531,1638957217067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638957217080,1638957220801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638957220811,1638957234611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638957234621,1638957235678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638957235697,1638957240071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638957240077,1638957241275
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638957241291,1638957242394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638957242421,1638957243239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638957243253,1638957250662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638957250673,1638957252011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638957252035,1638957261240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638957261252,1638957280660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638957280672,1638957283580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638957283592,1638957286043
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638957286058,1638957296946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638957296958,1638957301192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638957301206,1638957303640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638957303657,1638957308143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638957308151,1638957336884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638957336897,1638957339061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638957339074,1638957340786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638957340794,1638957342540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638957342552,1638957343967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638957343978,1638957345689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638957345702,1638957347427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638957347433,1638957348824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638957348837,1638957350250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638957350259,1638957352667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638957352674,1638957353934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638957353951,1638957355039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638957355058,1638957356726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638957356736,1638957359168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638957359175,1638957360671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638957360683,1638957362364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638957362381,1638957372007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638957372017,1638957373711
