event,node,start,end
form start,,1639461342208,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639461342209,1639461343655
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639461343666,1639461345422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639461345429,1639461347233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639461347242,1639461354798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639461354809,1639461359344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639461359403,1639461361638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639461361651,1639461388449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639461388459,1639461458899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639461458911,1639461462437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639461462449,1639461472045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639461472055,1639461472938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639461472948,1639461487385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639461487395,1639461495309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639461495319,1639461501323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639461501332,1639461503741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639461503750,1639461518248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639461518257,1639461534113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639461534123,1639461535947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639461535955,1639461546332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639461546342,1639461548250
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639461548259,1639461550970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639461550979,1639461556876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639461556887,1639461558461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639461558470,1639461560145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639461560155,1639461561780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639461561790,1639461568128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639461568138,1639461571923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639461571933,1639461575794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639461575804,1639461578580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639461578592,1639461580615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639461580624,1639461582016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639461582026,1639461592662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639461592673,1639461615484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639461615496,1639461623872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639461623885,1639461625273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639461625286,1639461628235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639461628245,1639461631229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639461631244,1639461633206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639461633219,1639461635107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639461635118,1639461638318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639461638330,1639461641197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639461641207,1639461648388
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639461648399,1639461650607
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639461650619,1639461656670
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639461656719,1639461660374
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639461660386,1639461663919
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639461663929,1639461670209
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639461670219,1639461672144
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639461672154,1639461674471
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639461674481,1639461694113
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639461694124,1639461698608
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639461698619,1639461702729
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639461702738,1639461709750
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639461709761,1639461718132
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639461718143,1639461722954
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639461722965,1639461725239
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639461725252,1639461730077
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639461730088,1639461732496
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639461732507,1639461735021
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639461735034,1639461736178
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639461736189,1639461740947
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639461740958,1639461747144
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639461747153,1639461755671
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639461755680,1639461757999
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639461758010,1639461759874
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639461759884,1639461765421
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639461765430,1639461774241
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639461774251,1639461781739
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639461781749,1639461783922
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639461783934,1639461785198
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639461785208,1639461786761
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639461786771,1639461789563
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639461789573,1639461806675
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639461806686,1639461819781
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639461819793,1639461820852
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639461820864,1639461835480
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639461835490,1639461855430
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639461855440,1639461858256
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639461858266,1639461860849
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639461860858,1639461866338
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639461866348,1639461879078
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639461879089,1639461880219
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639461880230,1639461884241
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639461884254,1639461891605
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639461891617,1639461893749
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639461893759,1639461895551
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639461895564,1639461897436
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639461897447,1639461901490
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639461901500,1639461904092
