event,node,start,end
form start,,1638438237383,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638438237384,1638438238367
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638438238375,1638438241454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638438241465,1638438243132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638438243138,1638438250149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638438250157,1638438251567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638438251575,1638438253155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638438253164,1638438290237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638438290287,1638438301101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638438301144,1638438312173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638438312182,1638438327187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638438327194,1638438331720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638438331727,1638438342454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638438342461,1638438344154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638438344163,1638438354738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638438354745,1638438379128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638438379136,1638438394501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638438394507,1638438398809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638438398816,1638438421397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638438421405,1638438540841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638438540849,1638438543131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638438543138,1638438578820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638438578828,1638438586162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638438586170,1638438591565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638438591573,1638438601469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638438601475,1638438603425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638438603431,1638438605299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638438605306,1638438606772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638438606778,1638438638833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638438638841,1638438646986
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438646994,1638438675683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638438675692,1638438684037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638438684045,1638438689783
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638438689789,1638438691627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638438691635,1638438696545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638438696554,1638438715950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638438715960,1638438716741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638438716749,1638438717151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638438717163,1638438718014
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638438718022,1638438718370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438718377,1638438718742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638438718750,1638438719123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638438719134,1638438722636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638438722644,1638438724170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638438724178,1638438726462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638438726470,1638438730933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638438730941,1638438731778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638438731787,1638438746879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638438746888,1638438753559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638438753568,1638438754052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638438754068,1638438754498
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638438754507,1638438757941
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638438757947,1638438758795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638438758803,1638438759895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638438759902,1638438761582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638438761589,1638438762318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638438762325,1638438764013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638438764019,1638438765275
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638438765283,1638438773492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638438773500,1638438778670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438778677,1638438787767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638438787775,1638438797548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438797556,1638438798566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638438798574,1638438803664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438803672,1638438805877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638438805885,1638438809647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438809656,1638438810538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638438810546,1638438856161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638438856168,1638438857151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638438857159,1638438858033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638438858040,1638438858942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638438858949,1638438861345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638438861353,1638438862711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638438862719,1638438871152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638438871164,1638438872588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638438872597,1638438873860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638438873870,1638438876045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638438876054,1638438877962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638438877970,1638438881157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638438881169,1638438892420
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638438892430,1638438918738
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638438918748,1638438926771
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638438926805,1638438930410
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638438930448,1638438932446
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638438932457,1638438936024
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638438936032,1638438944687
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638438944699,1638438951770
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638438951778,1638438953640
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638438953649,1638438959628
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638438959637,1638438974998
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638438975005,1638438996743
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638438996751,1638438999937
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638438999944,1638439002684
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638439002691,1638439005619
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638439005626,1638439008108
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638439008115,1638439009459
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638439009465,1638439044089
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638439044097,1638439054830
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638439054837,1638439057331
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638439057339,1638439062897
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638439062906,1638439065430
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638439065439,1638439068089
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638439068097,1638439070825
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638439070831,1638439073055
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638439073062,1638439077457
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638439077464,1638439078681
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638439078688,1638439082847
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638439082854,1638439085204
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638439085211,1638439089768
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638439089775,1638439092643
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638439092651,1638439097059
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638439097068,1638439099564
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638439099573,1638439112039
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638439112047,1638439137808
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638439137818,1638439165791
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638439165801,1638439182568
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638439182575,1638439188103
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638439188110,1638439194194
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638439194205,1638439196075
