event,node,start,end
form start,,1639390909437,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639390909438,1639390910285
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639390910300,1639390911472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639390911489,1639390913111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639390913123,1639390926693
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639390926707,1639390930135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639390930168,1639390933371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639390933400,1639390956628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639390956640,1639391004856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639391004868,1639391007149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639391007161,1639391012541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639391012555,1639391013433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639391013446,1639391020076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639391020090,1639391023945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639391023958,1639391042050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639391042062,1639391043559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639391043573,1639391061540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639391061552,1639391070442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639391070454,1639391072126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639391072143,1639391081328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639391081341,1639391084763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1639391084779,1639391092640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1639391092654,1639391104434
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1639391104448,1639391107429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1639391107442,1639391114605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639391114619,1639391123591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639391123605,1639391132061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639391132075,1639391138313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639391138326,1639391141613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639391141625,1639391145022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639391145034,1639391165753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639391165764,1639391166713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639391166727,1639391167304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639391167316,1639391168230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639391168243,1639391169231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639391169244,1639391170521
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639391170533,1639391170988
