event,node,start,end
form start,,1639387052919,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639387052920,1639387053854
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639387053865,1639387055145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639387055161,1639387056468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639387056481,1639387062139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639387062152,1639387065249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639387065290,1639387068457
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639387068475,1639387074477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639387074489,1639387083001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639387083013,1639387085872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639387085886,1639387096902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639387096912,1639387098282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639387098293,1639387105809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639387105819,1639387117028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639387117041,1639387123736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639387123747,1639387125947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639387125958,1639387139791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639387139803,1639387148478
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639387148489,1639387150601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639387150616,1639387163706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639387163718,1639387167554
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639387167566,1639387172090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639387172102,1639387181520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639387181532,1639387186665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639387186677,1639387191676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639387191688,1639387196851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639387196864,1639387201878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639387201887,1639387228139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639387228151,1639387228529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639387228544,1639387228897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639387228913,1639387229512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639387229531,1639387233173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639387233186,1639387234953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639387234966,1639387237628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639387237648,1639387240993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639387241005,1639387243284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639387243297,1639387248707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639387248719,1639387256694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639387256705,1639387258837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639387258850,1639387261185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639387261199,1639387263452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639387263465,1639387265089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639387265102,1639387270290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639387270301,1639387272049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639387272062,1639387284530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639387284548,1639387286878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639387286892,1639387293332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639387293344,1639387298570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639387298582,1639387303915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639387303932,1639387310110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639387310122,1639387317706
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639387317718,1639387324345
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639387324358,1639387327537
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639387327549,1639387342551
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639387342563,1639387353663
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639387353674,1639387356823
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639387356838,1639387360417
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639387360429,1639387369981
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639387369993,1639387384207
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639387384219,1639387384566
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639387384580,1639387386139
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639387386152,1639387388097
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639387388109,1639387389195
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639387389207,1639387396341
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639387396354,1639387421767
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639387421780,1639387438774
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639387438785,1639387443250
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639387443262,1639387445974
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639387445987,1639387448658
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639387448671,1639387453444
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639387453457,1639387461472
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639387461483,1639387464654
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639387464666,1639387465868
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639387465881,1639387470304
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639387470317,1639387487821
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639387487834,1639387491102
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639387491115,1639387506125
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639387506135,1639387525805
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639387525816,1639387540002
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639387540014,1639387545123
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639387545135,1639387548305
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639387548318,1639387554589
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639387554604,1639387567131
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639387567143,1639387588765
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639387588778,1639387591563
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639387591579,1639387593955
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639387593970,1639387595279
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639387595294,1639387597758
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639387597772,1639387603003
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639387603022,1639387607251
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639387607267,1639387609816
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639387609830,1639387622353
