event,node,start,end
form start,,1639288770726,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639288770728,1639288771633
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639288771653,1639288796641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639288796653,1639288798318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639288798329,1639288799563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639288799579,1639288801531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639288801553,1639288810150
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639288810166,1639288823160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639288823198,1639288825794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639288825824,1639288834079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639288834094,1639288855632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639288855646,1639288858009
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639288858022,1639288862551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639288862567,1639288863543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639288863557,1639288885707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639288885723,1639288904155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639288904169,1639288922009
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639288922022,1639288923484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639288923498,1639288934505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639288934518,1639288939106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639288939120,1639288940590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639288940602,1639288952368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639288952381,1639288954860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639288954873,1639288956786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639288956801,1639288965838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639288965850,1639288967264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639288967280,1639288969088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639288969101,1639288971237
