event,node,start,end
form start,,1638856482866,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638856482867,1638856483902
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638856483910,1638856485082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638856485089,1638856497957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638856497965,1638856502595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638856502603,1638856512396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638856512464,1638856515204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638856515236,1638856546205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638856546213,1638856947380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638856947387,1638856949929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638856949937,1638856952577
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638856952586,1638856953421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638856953429,1638856986260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638856986268,1638856999721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638856999729,1638857064540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638857064549,1638857066863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638857066871,1638857090393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638857090400,1638857102459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638857102467,1638857104138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638857104147,1638857124736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638857124744,1638857126549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638857126558,1638857133885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638857133893,1638857149795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638857149803,1638857159764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638857159772,1638857164785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638857164794,1638857169757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638857169764,1638857177261
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638857177269,1638857185641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638857185649,1638857198050
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638857198058,1638857199337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638857199345,1638857201176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638857201184,1638857202630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638857202637,1638857206155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638857206163,1638857207650
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638857207659,1638857209422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638857209434,1638857210350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638857210357,1638857211018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638857211026,1638857211996
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638857212004,1638857212965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638857212974,1638857214010
