event,node,start,end
form start,,1639376251954,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639376251956,1639376252841
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639376252852,1639376254819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639376254832,1639376260153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639376260163,1639376265516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639376265527,1639376270163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639376270202,1639376276058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639376276096,1639376327140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639376327151,1639376613246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639376613257,1639376619211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639376619222,1639376623622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639376623634,1639376624871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639376624882,1639376637778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639376637790,1639376649886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639376649898,1639376658363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639376658376,1639376660412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639376660424,1639376674869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639376674881,1639376679066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639376679076,1639376681031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639376681044,1639376690324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639376690335,1639376692673
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639376692686,1639376695988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639376695999,1639376711810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639376711822,1639376713442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639376713453,1639376718722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639376718733,1639376721752
