event,node,start,end
form start,,1639457725097,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639457725099,1639457726092
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639457726104,1639457727400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639457727407,1639457729639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639457729646,1639457740605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639457740612,1639457744771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639457744831,1639457746995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639457747005,1639457760626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639457760634,1639457790858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639457790865,1639457796853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639457796861,1639457813080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639457813088,1639457814084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639457814091,1639457862717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639457862724,1639457879892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639457879899,1639457892703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639457892710,1639457894240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639457894247,1639457920029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639457920037,1639457923208
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639457923215,1639457925116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639457925123,1639457953159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639457953168,1639457955726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639457955734,1639457959323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639457959330,1639457989342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457989349,1639457999049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639457999056,1639458002552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458002559,1639458012626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639458012633,1639458014759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639458014767,1639458016129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458016136,1639458019559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458019566,1639458021210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639458021218,1639458036285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639458036292,1639458045672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639458045678,1639458048003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639458048012,1639458049383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639458049390,1639458050972
