event,node,start,end
form start,,1638950999291,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638950999292,1638951000037
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638951000048,1638951018670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638951018681,1638951020423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638951020433,1638951031141
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638951031147,1638951037402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638951037472,1638951039995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638951040007,1638951056596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638951056605,1638951063876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638951063884,1638951066819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638951066829,1638951072364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638951072372,1638951075132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638951075141,1638951084562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638951084569,1638951085520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638951085529,1638951087096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638951087104,1638951093322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638951093328,1638951113028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638951113036,1638951115575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638951115582,1638951130803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638951130811,1638951140611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638951140619,1638951142172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638951142182,1638951157021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638951157030,1638951159132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638951159141,1638951162715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638951162724,1638951181781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638951181788,1638951187880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638951187888,1638951190888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638951190896,1638951194473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638951194482,1638951205369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638951205377,1638951221808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638951221817,1638951224582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638951224590,1638951226641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638951226648,1638951228317
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638951228325,1638951229751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638951229759,1638951241226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638951241235,1638951243878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638951243886,1638951246708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638951246718,1638951247927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638951247936,1638951249094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638951249101,1638951250439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638951250448,1638951251740
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638951251749,1638951253076
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638951253085,1638951255815
