event,node,start,end
form start,,1638771025477,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638771025480,1638771027058
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638771027072,1638771072090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638771072098,1638771105634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638771105642,1638771132728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638771132736,1638771137716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638771137755,1638771147398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638771147438,1638771167716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638771167724,1638771191398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638771191408,1638771200703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638771200712,1638771210541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638771210549,1638771211675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638771211683,1638771221860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638771221868,1638771233296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638771233304,1638771241246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638771241253,1638771251518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638771251530,1638771266933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638771266942,1638771275991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638771276001,1638771281730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638771281738,1638771290355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638771290363,1638771326088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638771326095,1638771330776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638771330783,1638771334947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638771334954,1638771373047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638771373063,1638771375900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638771375909,1638771378409
