event,node,start,end
form start,,1638955038338,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638955038339,1638955039075
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638955039098,1638955040901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638955040917,1638955043184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638955043198,1638955059640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638955059655,1638955065251
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638955065289,1638955069160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638955069194,1638955084535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638955084549,1638955107719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638955107736,1638955110330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638955110345,1638955113895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638955113910,1638955114962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638955114977,1638955122148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638955122162,1638955128708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638955128722,1638955134543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638955134556,1638955136068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638955136083,1638955159388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638955159404,1638955166216
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638955166229,1638955168141
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638955168156,1638955180856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638955180873,1638955182515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638955182534,1638955207039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638955207054,1638955239465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638955239482,1638955240945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638955240959,1638955242203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638955242217,1638955242794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638955242806,1638955245771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638955245786,1638955264285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638955264299,1638955265343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638955265358,1638955266244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638955266260,1638955267528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638955267543,1638955269128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638955269145,1638955272062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638955272076,1638955275021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638955275035,1638955277313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638955277328,1638955278397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638955278410,1638955279972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638955279986,1638955282348
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638955282364,1638955284332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638955284347,1638955285683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638955285698,1638955287533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638955287547,1638955289225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638955289240,1638955295355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638955295376,1638955297180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638955297197,1638955299956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638955299971,1638955304450
