event,node,start,end
form start,,1639292051741,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639292051742,1639292162087
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639292162097,1639292293817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639292293831,1639292297069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639292297080,1639292302451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639292302464,1639292305682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639292305741,1639292309199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639292309239,1639292318115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639292318127,1639292335794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639292335805,1639292338931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639292338942,1639292342847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639292342858,1639292344022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639292344033,1639292351206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639292351213,1639292359517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639292359527,1639292368725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639292368735,1639292370501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639292370512,1639292386670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639292386679,1639292390787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639292390796,1639292395639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639292395649,1639292405914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639292405923,1639292407560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639292407569,1639292410378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639292410389,1639292421385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639292421392,1639292424192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639292424203,1639292445096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639292445104,1639292457303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639292457313,1639292460126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639292460134,1639292461866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639292461876,1639292463670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639292463679,1639292468579
