event,node,start,end
form start,,1638783413892,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638783413896,1638783435039
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638783435049,1638783438517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638783438526,1638783440811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638783440819,1638783448821
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638783448831,1638783460093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638783460194,1638783463558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638783463570,1638783483212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638783483221,1638783484641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638783484650,1638783487965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638783487974,1638783493885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638783493895,1638783495205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638783495214,1638783509669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638783509678,1638783576243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638783576252,1638783632501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638783632512,1638783634630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638783634640,1638783714380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638783714389,1638783725291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638783725300,1638783727602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638783727610,1638783757524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638783757533,1638783760885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638783760896,1638783807167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638783807176,1638783824479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638783824490,1638783826078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638783826087,1638783827965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638783827974,1638783829418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638783829427,1638783830988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638783830998,1638783832729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638783832739,1638783834882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638783834891,1638783836375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638783836384,1638783838101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638783838111,1638783839852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638783839861,1638783841972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638783841981,1638783855533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638783855542,1638783873035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638783873045,1638783874362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638783874371,1638783875485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638783875494,1638783876627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638783876638,1638783877808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638783877819,1638783880116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638783880125,1638783882816
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638783882826,1638783887045
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638783887054,1638783892685
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638783892713,1638783893979
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638783893987,1638783901697
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638783901704,1638783904600
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638783904612,1638783906603
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638783906612,1638783926318
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638783926326,1638783933539
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638783933549,1638783942586
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638783942596,1638783948302
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638783948311,1638783962320
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638783962328,1638783963500
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638783963508,1638783972690
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638783972699,1638783992566
