event,node,start,end
form start,,1639387535954,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639387535956,1639387536906
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639387536914,1639388346461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639388346469,1639388347828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639388347837,1639388352072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639388352080,1639388355189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639388355228,1639388358214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639388358226,1639388365592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639388365601,1639388474363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639388474372,1639388476545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639388476553,1639388480070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639388480077,1639388481064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639388481072,1639388486061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639388486070,1639388490030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639388490038,1639388496473
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639388496481,1639388501445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639388501454,1639388524290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639388524299,1639388534802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639388534811,1639388536114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639388536127,1639388548990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639388548998,1639388550328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639388550337,1639388553728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639388553737,1639388599902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639388599911,1639388600972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639388600980,1639388605602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639388605611,1639388606704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639388606713,1639388608802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639388608809,1639388609863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639388609869,1639388611308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639388611316,1639388612387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639388612394,1639388613565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639388613572,1639388614593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639388614600,1639388615553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639388615561,1639388616456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639388616464,1639388622739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639388622748,1639388629540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639388629549,1639388636234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639388636242,1639388637245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639388637253,1639388638373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639388638384,1639388642417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639388642427,1639388644556
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639388644569,1639388645936
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639388645943,1639388647714
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639388647724,1639388650588
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639388650619,1639388655101
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639388655115,1639388677612
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639388677624,1639388681690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639388681701,1639388685877
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639388685887,1639388723137
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639388723147,1639388729128
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639388729160,1639388741871
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639388741882,1639388743167
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639388743175,1639388744620
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639388744630,1639388745932
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639388745941,1639388747903
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639388747912,1639388749942
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639388749954,1639388751550
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639388751560,1639388757732
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639388757744,1639388761274
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639388761283,1639388762964
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639388762973,1639388764894
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639388764902,1639388766957
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639388766968,1639388768519
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639388768528,1639388769245
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639388769252,1639388770501
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639388770510,1639388783787
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639388783795,1639388785257
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639388785266,1639388786744
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639388786753,1639388787780
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639388787789,1639388791858
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639388791867,1639388793938
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639388793947,1639388796470
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639388796478,1639388797930
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639388797941,1639388798983
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639388798992,1639388799337
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639388799347,1639388802361
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639388802370,1639388803278
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639388803287,1639388804180
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639388804189,1639388809439
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639388809448,1639388813113
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639388813122,1639388814528
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639388814534,1639388815722
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639388815730,1639388819407
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639388819415,1639388823468
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639388823476,1639388826134
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639388826141,1639388830243
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639388830252,1639388832315
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639388832323,1639388835022
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639388835034,1639388836844
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639388836852,1639388842091
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639388842100,1639388845693
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639388845703,1639388849310
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639388849320,1639388850347
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639388850356,1639388854233
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639388854241,1639388855360
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639388855369,1639388857165
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639388857175,1639388858611
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639388858620,1639388859772
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639388859781,1639388869816
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639388869825,1639388873234
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639388873242,1639388875190
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639388875198,1639388886009
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639388886021,1639388888567
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639388888578,1639388925307
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639388925316,1639388927280
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639388927288,1639388929326
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639388929336,1639388930580
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639388930590,1639388933387
end screen,,1639388933394,1639389330120
form save,,1639389330317,
form exit,,1639389330317,
form finalize,,1639389330317,
form resume,,1639396351502,
jump,,1639396351502,1639396367940
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639396367967,1639396370089
form exit,,1639396370089,

