event,node,start,end
form start,,1639374762111,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639374762112,1639374762868
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639374762878,1639374764510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639374764520,1639374766395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639374766403,1639374775244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639374775250,1639374778971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639374779041,1639374782772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639374782783,1639374794287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639374794295,1639375156647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639375156656,1639375167678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639375167686,1639375170886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639375170892,1639375171780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639375171787,1639375177437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639375177444,1639375179902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639375179909,1639375197984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639375197991,1639375199739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639375199747,1639375536999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639375537009,1639375545121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639375545128,1639375546583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639375546591,1639375560279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639375560287,1639375561549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639375561557,1639375568610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639375568617,1639375578670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639375578677,1639375582697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639375582705,1639375591045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639375591052,1639375598465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639375598473,1639375621420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639375621428,1639375622756
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639375622765,1639375624511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639375624519,1639375625956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639375625965,1639375631296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639375631304,1639375639886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639375639894,1639375642101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639375642109,1639375643454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639375643462,1639375644222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639375644230,1639375647531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639375647539,1639375649955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639375649963,1639375650741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639375650748,1639375651559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639375651567,1639375653105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639375653113,1639375654316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639375654324,1639375656915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639375656922,1639375657892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639375657899,1639375658962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639375658968,1639375660567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639375660574,1639375662129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639375662136,1639375666649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639375666656,1639375688859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639375688867,1639375689778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639375689786,1639375691808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639375691817,1639375698092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639375698101,1639375701803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639375701812,1639375703164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639375703172,1639375704225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639375704234,1639375715180
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639375715188,1639375721297
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639375721306,1639375724120
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639375724149,1639375727889
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639375727900,1639375729368
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639375729376,1639375731073
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639375731080,1639375732551
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639375732562,1639375734315
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639375734323,1639375735920
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639375735927,1639375737110
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639375737117,1639375739122
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639375739131,1639375740727
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639375740736,1639375742817
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639375742826,1639375743951
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639375743959,1639375745547
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639375745555,1639375747375
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639375747384,1639375748168
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639375748176,1639375749626
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639375749634,1639375751356
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639375751364,1639375755567
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639375755575,1639375757196
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639375757203,1639375758583
