event,node,start,end
form start,,1639283440659,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639283440660,1639283441497
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639283441519,1639283443028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639283443032,1639283444818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639283444823,1639283453789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639283453797,1639283457451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639283457554,1639283460181
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639283460249,1639283489094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639283489101,1639283555359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639283555365,1639283559234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639283559243,1639283592849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639283592854,1639283594297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639283594305,1639283648862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639283648869,1639283649794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639283649800,1639283651109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639283651113,1639283651954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639283651958,1639283732173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639283732178,1639283744391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639283744395,1639283755185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639283755190,1639283760538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639283760549,1639283761422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639283761426,1639283762332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639283762336,1639283764630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639283764635,1639283766526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639283766535,1639283767660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639283767679,1639283782702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639283782710,1639283789880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639283789886,1639283791406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639283791411,1639283813753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639283813760,1639283817911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639283817915,1639283819369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639283819373,1639283820368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639283820373,1639283821640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639283821644,1639283842001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639283842007,1639283843867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639283843873,1639283851162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639283851166,1639283865178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639283865184,1639283866549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639283866555,1639283867404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639283867409,1639283870192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639283870197,1639283872134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639283872141,1639283873507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639283873513,1639283875273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639283875280,1639283876699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639283876705,1639283879381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639283879389,1639283881182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639283881196,1639283884995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639283885001,1639283886608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639283886616,1639283889131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639283889135,1639283890601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639283890607,1639283891795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639283891801,1639283892586
