event,node,start,end
form start,,1639297915465,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639297915470,1639297937038
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639297937061,1639297938342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639297938356,1639297939987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639297940004,1639297944814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639297944827,1639297948848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639297948903,1639297970997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639297971018,1639297979583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639297979596,1639298010653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639298010662,1639298013288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639298013303,1639298016446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639298016460,1639298017913
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639298017928,1639298064406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639298064418,1639298072933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639298072948,1639298079610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639298079622,1639298081236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639298081250,1639298170998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639298171011,1639298175032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639298175047,1639298207971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639298207985,1639298214647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639298214660,1639298215781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639298215794,1639298220190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639298220205,1639298252137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639298252149,1639298253629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639298253647,1639298256288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639298256301,1639298257865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639298257878,1639298259314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639298259329,1639298261023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639298261035,1639298262548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639298262560,1639298265358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639298265372,1639298268034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639298268047,1639298276708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639298276722,1639298278634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639298278647,1639298279967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639298279979,1639298307837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639298307851,1639298309571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639298309584,1639298317389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639298317402,1639298319157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639298319173,1639298319748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639298319762,1639298321366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639298321379,1639298322900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639298322914,1639298325175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639298325188,1639298325768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639298325785,1639298326651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639298326666,1639298327876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639298327889,1639298328651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639298328664,1639298330219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639298330231,1639298331502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639298331514,1639298332160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639298332173,1639298332978
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639298332990,1639298333343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639298333357,1639298334036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639298334048,1639298334420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639298334432,1639298334794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639298334810,1639298338555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639298338576,1639298341313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639298341326,1639298341780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639298341796,1639298342247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639298342263,1639298342722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639298342734,1639298344764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639298344778,1639298349165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639298349177,1639298350348
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639298350363,1639298360469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639298360487,1639298364603
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639298364624,1639298365953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639298365973,1639298366987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639298367005,1639298368238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639298368255,1639298369355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639298369373,1639298370555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639298370574,1639298372923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639298372937,1639298374114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639298374128,1639298375940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639298375952,1639298378608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639298378627,1639298385314
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639298385330,1639298387423
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639298387437,1639298391508
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639298391528,1639298394451
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639298394471,1639298404879
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639298404895,1639298407971
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639298407991,1639298410263
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639298410273,1639298419564
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639298419580,1639298422113
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639298422129,1639298427866
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639298427884,1639298431324
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639298431341,1639298433201
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639298433220,1639298435017
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639298435030,1639298436775
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639298436788,1639298437707
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639298437721,1639298439986
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639298440000,1639298454932
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639298454945,1639298464893
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639298464911,1639298466593
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639298466607,1639298468310
