event,node,start,end
form start,,1639458792815,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639458792816,1639458793812
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639458793819,1639458795408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639458795414,1639459750522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639459750531,1639459756448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639459756454,1639459760221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639459760264,1639459762724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639459762735,1639459773252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639459773260,1639459782231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639459782240,1639459784725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639459784734,1639459790599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639459790606,1639459791678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639459791684,1639459819156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639459819164,1639459835520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639459835529,1639459841246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639459841255,1639459842851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639459842861,1639459860273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639459860280,1639459869893
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639459869902,1639459871541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639459871548,1639459880483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639459880490,1639459881997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459882004,1639459883914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459883923,1639459888677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459888685,1639459890522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459890528,1639459893640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459893648,1639459895017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459895026,1639459900775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639459900782,1639459902499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639459902509,1639459913029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639459913038,1639459915071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639459915079,1639459916923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639459916931,1639459918264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639459918273,1639459920266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639459920273,1639459922299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639459922305,1639459924617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639459924624,1639459927101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639459927108,1639459931461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639459931468,1639459932883
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639459932891,1639459934188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639459934197,1639459935502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639459935510,1639459943295
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639459943303,1639459950918
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639459950926,1639459954469
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639459954501,1639459957235
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639459957245,1639459959071
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639459959079,1639459960982
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639459960990,1639459965133
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639459965143,1639459968979
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639459968988,1639459973195
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639459973203,1639459976295
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639459976304,1639459993011
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639459993020,1639460003178
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639460003186,1639460005460
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639460005468,1639460021113
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639460021121,1639460023495
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639460023503,1639460025705
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639460025714,1639460026654
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639460026662,1639460032773
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639460032781,1639460038844
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639460038852,1639460040265
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639460040273,1639460041968
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639460041974,1639460050996
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639460051003,1639460052578
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639460052585,1639460054046
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639460054054,1639460056014
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639460056023,1639460057705
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639460057713,1639460068731
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639460068740,1639460070658
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639460070666,1639460071672
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639460071681,1639460073335
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639460073344,1639460074667
