event,node,start,end
form start,,1639393268366,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639393268368,1639393269240
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639393269250,1639393271015
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639393271026,1639393272554
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639393272566,1639393277350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639393277363,1639393281298
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639393281331,1639393283762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639393283799,1639393296470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639393296482,1639393316157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393316169,1639393319555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393319567,1639393323335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393323348,1639393324483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393324496,1639393342654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639393342665,1639393344020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393344032,1639393345036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639393345047,1639393350482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639393350494,1639393354662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639393354674,1639393355928
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639393355941,1639393359542
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639393359555,1639393362156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639393362169,1639393372184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639393372196,1639393375697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639393375710,1639393377213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639393377226,1639393386356
