event,node,start,end
form start,,1638872743747,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638872743748,1638872744415
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638872744425,1638872746285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638872746295,1638872747776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638872747786,1638872752448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638872752458,1638872755625
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638872755669,1638872760421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638872760454,1638872820568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638872820576,1638872981951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638872981962,1638872984739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638872984748,1638872992402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638872992409,1638872993445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638872993453,1638873057594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638873057602,1638873092243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638873092254,1638873097873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638873097882,1638873099375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638873099383,1638873108176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638873108185,1638873125108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638873125118,1638873125825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638873125832,1638873127819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638873127829,1638873129070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638873129078,1638873130104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638873130112,1638873131981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638873131990,1638873149625
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638873149634,1638873151202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638873151211,1638873158327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638873158335,1638873164685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638873164694,1638873167704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638873167713,1638873172526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638873172539,1638873175779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638873175788,1638873179499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638873179508,1638873183144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638873183151,1638873186882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638873186894,1638873190568
