event,node,start,end
form start,,1638697556792,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638697556793,1638697558470
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638697558478,1638697559629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638697559637,1638697562632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638697562641,1638697566069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638697566081,1638697570033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638697570067,1638697574388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638697574414,1638697653657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638697653671,1638697670526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638697670538,1638697674133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638697674145,1638697678601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638697678614,1638697679069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638697679081,1638697683598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638697683610,1638697684458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638697684470,1638697724802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638697724815,1638697789814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638697789827,1638697793969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638697793981,1638697795646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638697795660,1638697805782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638697805795,1638697811314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638697811327,1638697812523
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638697812536,1638697824878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638697824891,1638697826605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638697826620,1638697837909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638697837922,1638697848004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638697848018,1638697849321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638697849333,1638697851216
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638697851227,1638697852626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638697852638,1638697858173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638697858186,1638697863079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638697863091,1638697866850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638697866862,1638697869303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638697869314,1638697871263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638697871276,1638697872548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638697872560,1638697874100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638697874112,1638697875342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638697875354,1638697880630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638697880644,1638697881982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638697881997,1638697884335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638697884347,1638697887939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638697887951,1638697892694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638697892707,1638697894796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638697894809,1638697898041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638697898054,1638697901036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638697901049,1638697903672
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638697903685,1638697907727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1638697907740,1638697910496
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638697910508,1638697916478
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638697916492,1638697917863
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638697917878,1638697922084
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638697922109,1638697928575
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638697928600,1638697930201
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638697930214,1638697938669
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638697938681,1638697943892
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638697943905,1638697949864
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638697949877,1638697955588
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638697955601,1638697958889
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638697958904,1638697960501
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638697960513,1638697962390
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638697962405,1638697963855
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638697963868,1638697964332
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638697964342,1638697964956
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638697964966,1638697966103
