event,node,start,end
form start,,1639377396637,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639377396638,1639377401764
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639377401771,1639377403437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639377403445,1639377421077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639377421087,1639377428400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639377428410,1639377432254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639377432333,1639377435557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639377435602,1639377455042
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639377455050,1639377470371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639377470380,1639377481303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639377481313,1639377488707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639377488714,1639377489874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639377489883,1639377497023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639377497030,1639377508058
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639377508066,1639377512521
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639377512529,1639377513389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639377513397,1639377549089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639377549098,1639377559175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639377559183,1639377569760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639377569768,1639377571712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639377571721,1639377576917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639377576925,1639377581279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639377581287,1639377583073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639377583082,1639377592406
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639377592413,1639377593908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639377593914,1639377617612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639377617619,1639377638953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639377638961,1639377640863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639377640872,1639377643515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639377643522,1639377645167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639377645175,1639377647219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639377647227,1639377648653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639377648662,1639377653800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639377653808,1639377655243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639377655250,1639377656853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639377656862,1639377658029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639377658038,1639377664476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639377664484,1639377666419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639377666428,1639377673376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639377673383,1639377698527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639377698535,1639377699744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639377699754,1639377701304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639377701312,1639377703398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639377703408,1639377705908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639377705916,1639377728264
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639377728272,1639377731100
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639377731109,1639377734536
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639377734575,1639377737206
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639377737240,1639377739166
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639377739174,1639377746933
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639377746941,1639377756522
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639377756530,1639377757673
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639377757682,1639377759392
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639377759401,1639377771636
