event,node,start,end
form start,,1639373852168,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639373852169,1639373853216
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639373853225,1639373854728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639373854736,1639373856569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639373856576,1639373864361
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639373864373,1639373867999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639373868024,1639373870972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639373870989,1639373877373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639373877384,1639373893592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639373893602,1639373897180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639373897190,1639373909844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639373909856,1639373910987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639373911000,1639373918117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639373918131,1639373929966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639373929979,1639373938281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639373938291,1639373940192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639373940203,1639373959846
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639373959856,1639373969427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639373969438,1639373972117
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639373972127,1639373987012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639373987025,1639373990112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639373990125,1639374016105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374016117,1639374026252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374026265,1639374030680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374030692,1639374038864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374038878,1639374042612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639374042624,1639374054535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639374054543,1639374059504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639374059515,1639374070106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639374070116,1639374072254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639374072267,1639374075066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639374075079,1639374076820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639374076833,1639374094121
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639374094133,1639374104215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639374104227,1639374130849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639374130863,1639374134842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639374134856,1639374142264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639374142281,1639374152029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639374152041,1639374156818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639374156836,1639374168661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639374168673,1639374171318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639374171334,1639374176918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639374176933,1639374181124
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639374181139,1639374186210
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639374186221,1639374192839
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639374192863,1639374198362
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639374198379,1639374203396
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639374203409,1639374214549
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639374214561,1639374232016
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639374232027,1639374239176
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639374239186,1639374260116
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639374260129,1639374280240
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639374280254,1639374292317
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639374292329,1639374300036
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639374300050,1639374311546
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639374311559,1639374320144
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639374320157,1639374323843
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639374323854,1639374328100
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639374328112,1639374329326
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639374329339,1639374338742
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639374338755,1639374348075
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639374348087,1639374362571
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639374362583,1639374366344
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639374366356,1639374368993
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639374369006,1639374373907
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639374373919,1639374385122
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639374385135,1639374391545
