event,node,start,end
form start,,1639374475662,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639374475663,1639374477306
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639374477316,1639374478771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639374478780,1639374480416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639374480425,1639374490215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639374490240,1639374494276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639374494312,1639374499179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639374499205,1639374513563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639374513573,1639374519260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639374519270,1639374521925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639374521937,1639374553039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639374553049,1639374554256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639374554267,1639374572922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639374572932,1639374587951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639374587961,1639374614563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639374614572,1639374616892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639374616905,1639374643766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639374643775,1639374659307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639374659317,1639374661839
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639374661851,1639374681772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639374681781,1639374685626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639374685635,1639374690218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374690229,1639374729066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374729083,1639374746666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374746675,1639374753246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374753256,1639374770051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639374770060,1639374772356
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374772366,1639374773955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374773968,1639374775042
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374775054,1639374776319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374776331,1639374777686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639374777698,1639374778970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374778983,1639374779535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374779545,1639374780091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374780100,1639374780631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374780639,1639374781734
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639374781746,1639374800562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374800582,1639374801896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374801909,1639374803151
