event,node,start,end
form start,,1639391845417,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639391845419,1639391846171
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639391846180,1639391847710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639391847722,1639391849069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639391849080,1639391855398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639391855409,1639391859428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639391859467,1639391863242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639391863282,1639391869388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639391869400,1639391906529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639391906541,1639391910079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639391910092,1639391914873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639391914886,1639391915922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639391915935,1639391938140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639391938152,1639391950114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639391950128,1639391953712
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639391953724,1639391955677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639391955690,1639391967886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639391967899,1639391971334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639391971345,1639391973082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639391973096,1639391997881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639391997893,1639391999897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639391999910,1639392006158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639392006171,1639392013854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639392013866,1639392015319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639392015332,1639392024629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639392024642,1639392027145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639392027157,1639392029858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639392029871,1639392030275
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639392030287,1639392030924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639392030935,1639392031339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639392031351,1639392055558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639392055571,1639392057190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639392057202,1639392064535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639392064546,1639392069098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639392069109,1639392073412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639392073424,1639392074828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639392074840,1639392076410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639392076423,1639392077759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639392077772,1639392079641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639392079654,1639392081289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639392081326,1639392082239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639392082300,1639392111054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639392111066,1639392113019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639392113031,1639392127509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639392127521,1639392133337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639392133348,1639392135170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639392135181,1639392138251
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639392138265,1639392145263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639392145275,1639392148743
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639392148756,1639392157437
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639392157449,1639392167030
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639392167042,1639392169462
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639392169475,1639392175042
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639392175054,1639392178105
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639392178125,1639392180054
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639392180067,1639392187536
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639392187548,1639392192131
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639392192143,1639392219414
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639392219425,1639392222627
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639392222639,1639392225259
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639392225272,1639392228541
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639392228552,1639392230520
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639392230532,1639392231802
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639392231815,1639392233820
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639392233832,1639392240465
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639392240477,1639392243063
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639392243075,1639392246794
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639392246805,1639392248190
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639392248203,1639392249059
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639392249071,1639392251458
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639392251470,1639392253622
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639392253635,1639392255354
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639392255366,1639392260017
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639392260028,1639392262114
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639392262125,1639392263230
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639392263242,1639392265814
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639392265825,1639392295195
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639392295207,1639392297809
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639392297821,1639392299324
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639392299336,1639392301290
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639392301302,1639392304619
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639392304631,1639392313862
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639392313873,1639392318642
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639392318654,1639392347506
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639392347518,1639392352901
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639392352913,1639392356965
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639392356977,1639392361712
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639392361727,1639392364776
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639392364788,1639392366692
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639392366704,1639392370672
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639392370685,1639392375835
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639392375848,1639392379049
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639392379062,1639392387661
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639392387673,1639392407763
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639392407774,1639392418838
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639392418850,1639392425217
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639392425229,1639392435976
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639392435988,1639392447236
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639392447254,1639392450632
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639392450645,1639392452880
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639392452893,1639392455095
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639392455108,1639392457177
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639392457190,1639392467620
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639392467632,1639392485107
end screen,,1639392485122,1639392554256
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639392554258,1639392595389
end screen,,1639392595400,1639392959047
form save,,1639392959459,
form exit,,1639392959459,
form finalize,,1639392959460,

