event,node,start,end
form start,,1639373498501,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639373498503,1639373509454
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639373509467,1639373511462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639373511470,1639373513817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639373513827,1639373521533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639373521541,1639373525294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639373525339,1639373529365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639373529408,1639373553688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639373553696,1639373558016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639373558025,1639373562067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639373562075,1639373578695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639373578705,1639373580020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639373580030,1639373590832
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639373590842,1639373605511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639373605518,1639373617498
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639373617506,1639373619566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639373619574,1639373721927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639373721936,1639373735351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639373735364,1639373738262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639373738271,1639373750393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639373750402,1639373753242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639373753251,1639373762868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639373762878,1639373781393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639373781401,1639373785880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639373785887,1639373790851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639373790859,1639373794613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639373794626,1639373828183
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639373828192,1639373845367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639373845376,1639373876819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639373876830,1639373878854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639373878864,1639373890340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639373890347,1639373891268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639373891274,1639373892168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639373892176,1639373893403
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639373893410,1639373895038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639373895047,1639373896039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639373896047,1639373897131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639373897139,1639373898182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639373898192,1639373899400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639373899407,1639373900701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639373900709,1639373909311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639373909319,1639373911129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639373911137,1639373912381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639373912389,1639373913307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639373913315,1639373914741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639373914750,1639373915950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639373915958,1639373917335
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639373917343,1639373918344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639373918354,1639373920447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639373920456,1639373922340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639373922349,1639373933176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639373933184,1639373942808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639373942817,1639373960384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639373960392,1639373962785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639373962793,1639373970165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639373970172,1639373981632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639373981641,1639373983400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639373983407,1639373989606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639373989614,1639374004034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639374004042,1639374013944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639374013953,1639374032137
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639374032145,1639374096141
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639374096148,1639374105603
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639374105660,1639374112360
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639374112399,1639374120542
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639374120551,1639374125789
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639374125797,1639374132437
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639374132445,1639374140383
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639374140390,1639374155204
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639374155214,1639374167611
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639374167619,1639374183859
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639374183866,1639374199046
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639374199057,1639374233161
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639374233170,1639374247665
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639374247675,1639374273445
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639374273455,1639374275203
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639374275213,1639374290213
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639374290222,1639374298656
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639374298665,1639374300240
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639374300249,1639374302962
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639374302972,1639374325872
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639374325882,1639374336070
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639374336080,1639374339289
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639374339296,1639374341174
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639374341181,1639374349851
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639374349858,1639374372494
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639374372502,1639374388852
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639374388860,1639374392145
