event,node,start,end
form start,,1639030744526,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639030744528,1639030745077
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639030745084,1639030746396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639030746402,1639030763363
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639030763371,1639030764367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639030764374,1639030766116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639030766128,1639030777768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639030777776,1639030780721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639030780763,1639030783357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639030783390,1639030790080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639030790086,1639030791081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639030791088,1639030795753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639030795760,1639030799213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639030799221,1639030799972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639030799979,1639030818140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639030818146,1639030825413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639030825421,1639030832514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639030832522,1639030833989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639030833997,1639030868204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639030868212,1639030872833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639030872841,1639030874293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639030874301,1639030896540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639030896547,1639030898434
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639030898442,1639030909147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639030909154,1639030926296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639030926303,1639030928916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639030928924,1639030931293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639030931300,1639030933662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639030933669,1639030935373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639030935380,1639030936231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639030936239,1639030937191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639030937197,1639030940618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639030940626,1639030984976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639030984985,1639030989722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639030989729,1639030995990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639030995997,1639030997892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639030997898,1639031002337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639031002344,1639031004456
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639031004462,1639031024762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639031024768,1639031025829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639031025836,1639031028148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639031028156,1639031029466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639031029473,1639031030859
