event,node,start,end
form start,,1639382217627,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639382217629,1639382218768
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639382218781,1639382222911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639382222918,1639382225572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639382225579,1639382255361
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639382255369,1639382263939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639382263998,1639382279087
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639382279134,1639382331472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639382331480,1639382435845
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639382435852,1639382442574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639382442582,1639382482969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639382482976,1639382484908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639382484916,1639382560905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639382560912,1639382594327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639382594335,1639382618232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639382618240,1639382621774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639382621781,1639382640660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639382640668,1639382650199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639382650207,1639382654662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639382654670,1639382680782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639382680790,1639382689522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639382689530,1639382729059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639382729069,1639382750296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639382750304,1639382753947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382753954,1639382768515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382768524,1639382788017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382788025,1639382789804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639382789812,1639382818269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382818277,1639382840721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382840728,1639382861637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639382861644,1639382882068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639382882075,1639382913847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639382913855,1639382915266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382915273,1639382916346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382916353,1639382917480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639382917487,1639382918855
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639382918870,1639382920211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639382920217,1639382920991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382921000,1639382921554
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382921565,1639382922134
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639382922141,1639382923205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639382923212,1639382925007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639382925014,1639382935810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639382935817,1639382940684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639382940691,1639382943322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639382943328,1639382945426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639382945433,1639382961215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639382961222,1639382963238
