event,node,start,end
form start,,1639026249986,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639026249987,1639026272660
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639026272669,1639026273729
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639026273738,1639026291437
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639026291448,1639026294302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639026294312,1639026296279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639026296289,1639026304524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639026304533,1639026307888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639026307927,1639026314092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639026314104,1639026348029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639026348039,1639026359071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639026359080,1639026363242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639026363251,1639026367429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639026367440,1639026368324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639026368335,1639026394679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639026394689,1639026401326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639026401336,1639026415051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639026415061,1639026419641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639026419650,1639026443194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639026443203,1639026447795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639026447806,1639026451077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639026451085,1639026462739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639026462748,1639026466869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639026466879,1639026470674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639026470683,1639026471439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639026471446,1639026480778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639026480787,1639026497016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639026497026,1639026500914
