event,node,start,end
form start,,1639457511073,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639457511075,1639457511888
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639457511896,1639457513948
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639457513957,1639457515636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639457515646,1639457519815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639457519825,1639457523380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639457523412,1639457526777
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639457526818,1639457530991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639457531002,1639457563586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639457563596,1639457565987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639457565997,1639457569265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639457569276,1639457570797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639457570808,1639457577426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639457577437,1639457593514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639457593524,1639457611601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639457611612,1639457613367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639457613378,1639457627207
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639457627218,1639457630838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639457630849,1639457632303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639457632315,1639457656786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639457656796,1639457660184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639457660194,1639457663848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639457663860,1639457673026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457673037,1639457674607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639457674618,1639457689530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457689541,1639457690466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639457690483,1639457692678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457692689,1639457693327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639457693337,1639457698258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639457698268,1639457700372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457700383,1639457703620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457703631,1639457704969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457704980,1639457707401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457707412,1639457709399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639457709411,1639457712647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639457712657,1639457715395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639457715406,1639457725437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639457725448,1639457727736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639457727747,1639457730467
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639457730480,1639457731066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639457731076,1639457731850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639457731861,1639457732549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639457732558,1639457733165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457733175,1639457733682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457733693,1639457734148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457734160,1639457735514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457735527,1639457736464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639457736475,1639457736865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639457736878,1639457737289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457737301,1639457737762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639457737772,1639457738745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639457738756,1639457740077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639457740088,1639457740627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639457740637,1639457742325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639457742337,1639457743192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639457743204,1639457744375
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639457744386,1639457746373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639457746384,1639457747272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457747284,1639457749071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457749083,1639457752269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457752280,1639457761412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457761423,1639457762311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457762323,1639457763778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457763789,1639457772122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457772133,1639457772654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457772664,1639457773153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457773162,1639457773770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639457773779,1639457774920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457774931,1639457775435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457775448,1639457776618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639457776630,1639457779516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639457779527,1639457779932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639457779943,1639457780487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639457780499,1639457780981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639457780992,1639457781498
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639457781509,1639457782298
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639457782347,1639457783330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639457783341,1639457784696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639457784707,1639457813110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639457813121,1639457820904
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639457820915,1639457824219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639457824230,1639457827383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639457827394,1639457839890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639457839902,1639457846219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639457846230,1639457848118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639457848130,1639457851782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639457851792,1639457853864
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639457853876,1639457861242
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639457861253,1639457873466
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639457873504,1639457887673
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639457887710,1639457891354
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639457891364,1639457894785
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639457894796,1639457899814
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639457899825,1639457902962
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639457902973,1639457906094
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639457906105,1639457909495
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639457909507,1639457911792
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639457911805,1639457915389
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639457915401,1639457920353
