event,node,start,end
form start,,1638696913023,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638696913025,1638696927529
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638696927557,1638696928947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638696928965,1638696930621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638696930640,1638696947849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638696947866,1638696951000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638696951041,1638696960176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638696960211,1638696977773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638696977789,1638696978732
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638696978749,1638696981401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638696981415,1638696987627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638696987644,1638696988493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638696988511,1638696995829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638696995844,1638697007849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638697007864,1638697023695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638697023710,1638697025654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638697025670,1638697034515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638697034530,1638697038758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638697038776,1638697040750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638697040768,1638697056382
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638697056397,1638697058007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638697058024,1638697125028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638697125046,1638697150851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638697150867,1638697161397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638697161414,1638697168326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638697168341,1638697171194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638697171210,1638697174853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638697174869,1638697176287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638697176304,1638697184106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638697184122,1638697185523
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638697185538,1638697188815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638697188831,1638697190916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638697190932,1638697201060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638697201075,1638697202811
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638697202826,1638697220295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638697220312,1638697221619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638697221639,1638697224179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638697224196,1638697230826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638697230843,1638697238603
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638697238619,1638697241829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638697241844,1638697247723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638697247738,1638697250631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638697250649,1638697258099
