event,node,start,end
form start,,1638771964360,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638771964361,1638771965018
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638771965025,1638771966100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638771966106,1638771967501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638771967508,1638771977568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638771977576,1638771980518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638771980555,1638771982891
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638771982902,1638771992149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638771992157,1638772096060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638772096067,1638772098308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638772098315,1638772106539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638772106546,1638772107750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638772107759,1638772108276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638772108285,1638772108752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638772108759,1638772113215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638772113222,1638772113683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638772113690,1638772117852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638772117860,1638772123651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638772123659,1638772143788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638772143796,1638772145769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638772145778,1638772167645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638772167653,1638772178575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638772178583,1638772180722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638772180730,1638772194125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638772194133,1638772196365
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638772196376,1638772208981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1638772208987,1638772217463
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1638772217469,1638772219768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638772219780,1638772267124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638772267132,1638772282766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638772282773,1638772316073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638772316081,1638772325824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638772325832,1638772328623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638772328631,1638772330119
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638772330126,1638772408198
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638772408206,1638772408876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638772408884,1638772409444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638772409452,1638772409979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638772409985,1638772410681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638772410689,1638772411266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638772411279,1638772412034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638772412040,1638772415694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638772415700,1638772416388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638772416395,1638772417048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638772417055,1638772417918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638772417925,1638772418744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638772418753,1638772421720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638772421727,1638772423574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638772423581,1638772425772
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638772425781,1638772427334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638772427342,1638772428646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638772428653,1638772430342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638772430349,1638772435363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638772435371,1638772436558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638772436566,1638772450789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638772450796,1638772454707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638772454714,1638772456145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638772456157,1638772460389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638772460399,1638772461802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638772461810,1638772462737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638772462745,1638772464793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638772464801,1638772467283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638772467291,1638772480051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638772480060,1638772481555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638772481563,1638772483769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638772483777,1638772485423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638772485436,1638772486485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638772486493,1638772488156
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638772488164,1638772489610
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638772489618,1638772493102
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638772493132,1638772494999
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638772495011,1638772496436
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638772496445,1638772498024
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638772498032,1638772499571
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638772499579,1638772501442
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638772501449,1638772502587
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638772502596,1638772508573
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638772508581,1638772516710
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638772516724,1638772518699
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638772518707,1638772521105
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638772521113,1638772523754
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638772523761,1638772528801
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638772528808,1638772542922
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638772542929,1638772543814
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638772543821,1638772545097
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638772545104,1638772550761
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638772550769,1638772560605
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638772560612,1638772562317
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638772562324,1638772564189
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638772564195,1638772565810
