event,node,start,end
form start,,1638776794670,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638776794671,1638776795526
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638776795536,1638776797248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638776797257,1638776798788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638776798796,1638776805819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638776805828,1638776845942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638776845979,1638776852256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638776852287,1638776866144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638776866152,1638776916466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638776916474,1638776919621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638776919631,1638776929511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638776929519,1638776930578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638776930587,1638776970848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638776970856,1638776988404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638776988412,1638776995209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638776995217,1638776996902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638776996911,1638777009947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638777009955,1638777022667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638777022676,1638777050410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638777050421,1638777051778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638777051789,1638777053837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638777053846,1638777064087
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638777064097,1638777065480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1638777065488,1638777074956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638777074965,1638777122360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638777122369,1638777123812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638777123822,1638777168991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638777169000,1638777174680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638777174689,1638777179276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638777179284,1638777180260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638777180268,1638777209288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638777209296,1638777249411
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638777249420,1638777255773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638777255781,1638777277827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638777277837,1638777278895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638777278904,1638777282115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638777282123,1638777290873
