event,node,start,end
form start,,1639290796588,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639290796591,1639290798414
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639290798467,1639290799848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639290799857,1639290801643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639290801652,1639290829923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639290829934,1639290834805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639290834873,1639290843386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639290843447,1639290846022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639290846074,1639290846670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639290846722,1639290864143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639290864152,1639290865357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639290865366,1639290886502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639290886510,1639290990292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639290990312,1639290993703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290993713,1639291002303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639291002312,1639291003243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639291003251,1639291023697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639291023708,1639291034631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639291034641,1639291035395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639291035407,1639291036263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639291036272,1639291081380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639291081389,1639291083480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639291083490,1639291106085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639291106094,1639291110346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639291110355,1639291112997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639291113007,1639291123737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639291123745,1639291128614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639291128623,1639291134384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639291134394,1639291145038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639291145051,1639291149030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291149040,1639291155007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639291155016,1639291157234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639291157246,1639291158155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639291158164,1639291158972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291158984,1639291165196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639291165206,1639291165889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639291165898,1639291167362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639291167371,1639291169573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639291169584,1639291177868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639291177877,1639291184022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639291184033,1639291186139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639291186150,1639291190080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639291190089,1639291193501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639291193511,1639291197360
