event,node,start,end
form start,,1639393293355,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639393293355,1639393293958
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639393293964,1639393295122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639393295130,1639393296389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639393296396,1639393300568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639393300576,1639393304620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639393304686,1639393306642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639393306674,1639393317104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639393317112,1639393358106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393358113,1639393360296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393360308,1639393363404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393363411,1639393364607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393364614,1639393370690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639393370697,1639393381753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639393381761,1639393392591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639393392599,1639393393970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639393393981,1639393404156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639393404164,1639393415888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639393415896,1639393417216
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639393417225,1639393425362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639393425370,1639393426668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393426675,1639393469295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639393469306,1639393470565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393470573,1639393484235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393484242,1639393532574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393532583,1639393535449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393535457,1639393537379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393537387,1639393544840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393544848,1639393545710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393545727,1639393548743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393548752,1639393551701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393551714,1639393553180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393553187,1639393567703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393567710,1639393569282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393569289,1639393574320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393574328,1639393575791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393575799,1639393581038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393581047,1639393582593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393582600,1639393586813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393586820,1639393588191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639393588199,1639393590330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393590337,1639393591558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639393591566,1639393593581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393593590,1639393594056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639393594067,1639393594600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393594606,1639393594955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393594963,1639393595308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393595321,1639393596029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393596038,1639393596397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393596406,1639393596782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393596793,1639393597182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393597191,1639393597559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393597568,1639393597918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393597926,1639393598711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393598720,1639393601661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393601669,1639393602062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393602070,1639393602598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393602611,1639393603047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393603059,1639393603466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393603474,1639393603867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393603877,1639393604284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393604292,1639393604653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639393604666,1639393605019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393605028,1639393605387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639393605396,1639393609999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393610007,1639393611110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639393611119,1639393611670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393611679,1639393612148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393612160,1639393612506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393612518,1639393613158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393613165,1639393613719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393613726,1639393614245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393614254,1639393614764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393614775,1639393615264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393615276,1639393615757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393615764,1639393616233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393616244,1639393616760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393616769,1639393617495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639393617503,1639393618355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393618363,1639393620503
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393620511,1639393621180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393621189,1639393621658
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393621667,1639393622308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393622316,1639393622826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393622833,1639393623269
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393623281,1639393623662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393623683,1639393624039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639393624051,1639393624431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639393624439,1639393624800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639393624807,1639393625152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639393625161,1639393625517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639393625526,1639393625876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639393625884,1639393630146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639393630156,1639393632928
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639393632942,1639393635594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639393635604,1639393640431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639393640440,1639393642119
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639393642131,1639393645838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639393645848,1639393647383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639393647394,1639393649515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639393649523,1639393654035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639393654046,1639393655739
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639393655748,1639393660344
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639393660353,1639393664889
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639393664919,1639393666978
