event,node,start,end
form start,,1639288538308,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639288538309,1639288539000
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639288539028,1639288540741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639288540759,1639288542576
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639288542594,1639288549444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639288549462,1639288553263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639288553300,1639288556013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639288556049,1639288574680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639288574697,1639288575964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639288575980,1639288578049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639288578065,1639288582933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639288582951,1639288583641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639288583658,1639288606124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639288606141,1639288617770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639288617789,1639288625385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639288625403,1639288626911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639288626931,1639288643578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639288643594,1639288647103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639288647120,1639288648620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639288648638,1639288664392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639288664413,1639288666518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639288666536,1639288677003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639288677020,1639288723615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639288723632,1639288726032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639288726052,1639288727133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639288727151,1639288731567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639288731583,1639288734135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639288734152,1639288735977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639288735994,1639288738402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639288738421,1639288739828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639288739847,1639288743237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639288743256,1639288744788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639288744805,1639288746496
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639288746514,1639288747813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639288747832,1639288753182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639288753198,1639288754682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639288754699,1639288766689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639288766707,1639288771866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639288771883,1639288775200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639288775218,1639288777433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639288777452,1639288787455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639288787473,1639288789247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639288789267,1639288791948
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639288791966,1639288793423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639288793441,1639288796615
