event,node,start,end
form start,,1639468788589,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639468788590,1639468789492
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639468789500,1639468790859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639468790871,1639468792472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639468792482,1639468796934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639468796943,1639468800003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639468800040,1639468803621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639468803634,1639468810422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639468810432,1639468825039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639468825048,1639468828369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639468828378,1639468839089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468839098,1639468840871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639468840880,1639468843104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468843114,1639468843870
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639468843880,1639468845579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468845588,1639468846648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639468846658,1639468872030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468872039,1639468873780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639468873788,1639468874841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468874850,1639468875222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639468875231,1639468881762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639468881771,1639468904683
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639468904693,1639468935642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639468935649,1639468937747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639468937757,1639468960203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639468960212,1639468975624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639468975633,1639468978524
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639468978534,1639468987181
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639468987190,1639468990442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639468990452,1639468998427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639468998438,1639469009616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639469009626,1639469015193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639469015202,1639469019017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639469019026,1639469020958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639469020968,1639469034268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639469034278,1639469045013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639469045022,1639469063029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639469063038,1639469066824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639469066834,1639469076041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639469076050,1639469077896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639469077906,1639469080991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639469081000,1639469082346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639469082357,1639469083717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639469083727,1639469090867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639469090880,1639469093282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639469093293,1639469097897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639469097910,1639469102281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639469102291,1639469110306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639469110319,1639469114088
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639469114098,1639469122563
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639469122576,1639469132356
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639469132368,1639469136298
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639469136318,1639469139797
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639469139810,1639469141860
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639469141871,1639469146108
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639469146117,1639469157438
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639469157446,1639469168277
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639469168287,1639469175530
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639469175540,1639469185493
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639469185504,1639469194966
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639469194976,1639469203692
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639469203701,1639469209197
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639469209207,1639469218581
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639469218590,1639469229386
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639469229396,1639469232546
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639469232556,1639469237775
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639469237786,1639469239071
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639469239081,1639469252377
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639469252387,1639469261793
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639469261803,1639469279736
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639469279745,1639469284851
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639469284861,1639469288388
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639469288397,1639469294118
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639469294129,1639469303689
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639469303698,1639469313874
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639469313884,1639469324824
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639469324833,1639469326136
